split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,2.1828465461730957,0.4709745943546295,-1,-1,True,1.2804780006408691,-1,0.5271238684654236,1.4955780506134033,-1,0.40147191286087036
train,env000015,2,0,1,4.513469696044922,0.40185797214508057,-1,-1,True,0.981062114238739,-1,0.8591296076774597,1.1017847061157227,-1,0.8297682404518127
train,env000015,2,0,2,1.7531722784042358,0.32679423689842224,-1,-1,True,0.9446204304695129,-1,0.5668566226959229,1.1030831336975098,-1,0.45576217770576477
train,env000015,2,0,3,2.413652181625366,0.36831942200660706,-1,-1,True,0.9325779676437378,-1,0.7241238951683044,1.122931718826294,-1,0.6310564875602722
train,env000040,1,1,0,5.325412273406982,1.9111005067825317,0,0,True,1.5476601123809814,1,1.1064461469650269,3.8573250770568848,0,0.42998039722442627
train,env000040,1,1,1,6.748709201812744,1.915382742881775,-1,-1,True,1.617323398590088,1,1.061667561531067,4.916257858276367,-1,0.37912842631340027
train,env000040,1,1,2,5.282790184020996,1.8943454027175903,0,1,True,1.6040517091751099,1,1.0856716632843018,4.653342247009277,-1,0.18576307594776154
train,env000040,1,1,3,5.023143291473389,2.061624765396118,1,1,True,1.5905392169952393,1,1.1590689420700073,3.862152338027954,1,0.39202556014060974
train,env000064,4,2,0,10.770914077758789,5.618836879730225,1,1,True,1.8531678915023804,1,1.730903148651123,6.963383197784424,1,0.7390283346176147
train,env000064,4,2,1,10.769615173339844,6.1199774742126465,1,1,True,1.991835355758667,1,1.8878415822982788,10.071320533752441,1,0.1501825898885727
train,env000064,4,2,2,9.780291557312012,6.236401557922363,1,1,True,1.9322172403335571,1,2.214536666870117,9.03463363647461,1,0.2104066163301468
train,env000064,4,2,3,10.26014232635498,5.721531867980957,1,1,True,1.8421565294265747,1,1.8547495603561401,7.118673324584961,1,0.6921653747558594
train,env000065,0,3,0,5.379141330718994,1.2768630981445312,1,1,True,0.6112024784088135,1,1.1622660160064697,3.0997986793518066,1,0.5556284785270691
train,env000065,0,3,1,6.835515022277832,1.3447887897491455,0,1,True,0.13361744582653046,1,1.2205848693847656,5.763444900512695,1,0.19525104761123657
train,env000065,0,3,2,4.885438919067383,1.1964573860168457,1,1,True,0.11178144812583923,1,1.2940312623977661,3.509845495223999,1,0.37289246916770935
train,env000065,0,3,3,7.454634189605713,1.3739863634109497,-1,-1,True,0.22833776473999023,1,1.1884089708328247,6.118443965911865,1,0.2197447121143341
train,env000082,2,4,0,6.242091178894043,3.438768148422241,-1,-1,True,3.9321296215057373,-1,0.8240083456039429,4.373678684234619,-1,0.6664991974830627
train,env000082,2,4,1,10.396018028259277,3.8014233112335205,1,0,True,3.9725515842437744,-1,0.9740502238273621,4.249770641326904,-1,0.9320128560066223
train,env000082,2,4,2,7.9134721755981445,3.3589940071105957,-1,-1,True,3.909766912460327,-1,0.879069983959198,4.446305751800537,-1,0.7612653374671936
train,env000082,2,4,3,5.4832892417907715,3.380234718322754,-1,-1,True,3.878199577331543,-1,0.7632182836532593,4.539261341094971,-1,0.44888418912887573
train,env000013,2,5,0,1.8057565689086914,0.3780890107154846,1,1,True,0.07312118262052536,1,1.2136125564575195,1.1137076616287231,1,0.4847409129142761
