split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,C_random_coupling_safe_cost,C_random_coupling_mode,C_random_coupling_recovery
train,env000015,2,0,0,2.1828465461730957,0.48258209228515625,-1,-1,True,1.377565622329712,-1,0.4736209809780121
train,env000015,2,0,1,4.513469696044922,0.44187501072883606,-1,-1,True,0.9271868467330933,-1,0.8808054327964783
train,env000015,2,0,2,1.7531722784042358,0.3354816436767578,-1,-1,True,1.2574529647827148,-1,0.3496667742729187
train,env000015,2,0,3,2.413652181625366,0.39462676644325256,-1,-1,True,1.217218041419983,-1,0.5925800800323486
train,env000015,7,1,0,4.983565807342529,1.248145580291748,1,1,True,1.6113383769989014,1,0.9027705788612366
train,env000015,7,1,1,4.867823600769043,1.3380310535430908,1,1,True,1.5063560009002686,1,0.9523130655288696
train,env000015,7,1,2,4.420969009399414,1.323610544204712,1,1,True,1.5151357650756836,1,0.938165009021759
train,env000015,7,1,3,4.2690629959106445,1.2862581014633179,1,1,True,1.581131935119629,1,0.9011421203613281
train,env000015,8,2,0,3.269007682800293,0.634253203868866,1,1,True,1.1142507791519165,1,0.8178208470344543
train,env000015,8,2,1,3.1170687675476074,0.6427638530731201,1,1,True,1.0973573923110962,1,0.8162742853164673
train,env000015,8,2,2,2.6776440143585205,0.644030749797821,1,1,True,1.0448685884475708,1,0.8028938174247742
train,env000015,8,2,3,2.3160479068756104,0.6328626275062561,1,1,True,1.233450174331665,1,0.6431838870048523
train,env000040,6,3,0,8.258456230163574,2.9726288318634033,1,1,True,7.71440315246582,1,0.10292675346136093
train,env000040,6,3,1,9.048842430114746,2.9458587169647217,1,1,True,8.222286224365234,1,0.13543477654457092
train,env000040,6,3,2,8.028947830200195,2.79110050201416,1,1,True,8.069253921508789,1,-0.0076951636001467705
train,env000040,6,3,3,8.941008567810059,2.9740355014801025,-1,-1,True,7.588980674743652,1,0.22658520936965942
train,env000040,1,4,0,5.050752639770508,2.0620768070220947,1,1,True,2.910468578338623,1,0.7161312103271484
train,env000040,1,4,1,6.319779396057129,2.055922508239746,-1,0,True,3.0626327991485596,1,0.7638967633247375
train,env000040,1,4,2,4.780625820159912,2.076554775238037,1,1,True,1.446939468383789,1,1.232839822769165
train,env000040,1,4,3,4.441793918609619,1.365906000137329,1,1,True,2.921839714050293,1,0.49415135383605957
train,env000040,7,5,0,7.827924728393555,2.3120667934417725,-1,-1,True,3.5956132411956787,1,0.7672988176345825
train,env000040,7,5,1,7.188179969787598,1.5965064764022827,1,1,True,4.591760158538818,1,0.4643368124961853
