split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,C_random_coupling_safe_cost,C_random_coupling_mode,C_random_coupling_recovery
train,env000040,7,5,3,5.0452117919921875,1.257378101348877,0,1,True,3.505098581314087,-1,0.40659472346305847
train,env000064,4,6,0,9.696022987365723,5.94744873046875,1,1,True,6.97831916809082,1,0.7249966859817505
train,env000064,4,6,1,11.32928466796875,6.352625846862793,1,1,True,7.43163537979126,1,0.7831859588623047
train,env000064,4,6,2,11.299859046936035,6.328854560852051,1,1,True,7.118492603302002,1,0.841151237487793
train,env000064,4,6,3,9.610685348510742,6.248664379119873,1,1,True,7.1414642333984375,1,0.7344455122947693
train,env000064,5,7,0,5.677886486053467,2.851547956466675,-1,-1,True,2.55155611038208,-1,1.1061415672302246
train,env000064,5,7,1,5.203913688659668,2.3266260623931885,-1,-1,True,3.5080878734588623,-1,0.5893834829330444
train,env000064,5,7,2,5.928233623504639,3.0371322631835938,-1,-1,True,2.958824634552002,-1,1.027085781097412
train,env000064,5,7,3,5.9879984855651855,2.6260807514190674,-1,-1,True,2.8665177822113037,-1,0.928482174873352
train,env000064,8,8,0,5.43072509765625,2.153271436691284,-1,-1,True,2.2004597187042236,-1,0.9856021404266357
train,env000064,8,8,1,5.4550652503967285,2.128068208694458,-1,-1,True,2.660832166671753,1,0.8398663997650146
train,env000064,8,8,2,5.402295112609863,2.022937536239624,1,1,True,3.4322519302368164,-1,0.5829638242721558
train,env000064,8,8,3,6.670476913452148,2.158482789993286,-1,-1,True,2.3870604038238525,-1,0.9493399858474731
heldout,env000068,7,9,0,4.920500755310059,1.3414084911346436,-1,-1,True,5.348606586456299,-1,-0.11961296200752258
heldout,env000068,7,9,1,5.620567798614502,1.5228534936904907,1,0,True,5.6148576736450195,-1,0.0013934902381151915
heldout,env000068,7,9,2,5.768579006195068,1.734701156616211,-1,-1,True,5.5212602615356445,-1,0.06131042167544365
heldout,env000068,7,9,3,5.158771514892578,1.7506014108657837,-1,-1,True,5.448498725891113,-1,-0.0850096046924591
heldout,env000068,1,10,0,6.850508689880371,1.8047863245010376,1,1,True,5.7460432052612305,1,0.218891441822052
heldout,env000068,1,10,1,5.535959243774414,2.347576141357422,1,1,True,5.692825794219971,1,-0.04919940605759621
heldout,env000068,1,10,2,7.593505382537842,3.2173614501953125,1,1,True,5.700510501861572,1,0.4325714409351349
heldout,env000068,1,10,3,8.273934364318848,2.7014570236206055,-1,-1,True,6.594278812408447,1,0.3014198839664459
heldout,env000068,6,11,0,3.2882578372955322,1.0958889722824097,-1,-1,True,3.049140214920044,1,0.10906814783811569
heldout,env000068,6,11,1,3.5262393951416016,1.2087353467941284,-1,-1,True,4.422068119049072,1,-0.3865489661693573
heldout,env000068,6,11,2,3.465341091156006,1.1248061656951904,-1,-1,True,3.848987102508545,1,-0.1639138162136078
heldout,env000068,6,11,3,3.7959773540496826,1.1463180780410767,-1,-1,True,5.787686347961426,1,-0.7516849637031555
heldout,env000085,2,12,0,14.687999725341797,3.121846914291382,1,1,True,9.960206985473633,1,0.40876105427742004
heldout,env000085,2,12,1,9.857107162475586,2.627720832824707,1,1,True,9.590357780456543,1,0.0368979275226593
heldout,env000085,2,12,2,10.194182395935059,5.68684720993042,1,0,True,9.853862762451172,1,0.07550351321697235
heldout,env000085,2,12,3,9.770577430725098,2.9139580726623535,1,1,True,9.244107246398926,1,0.07678276300430298
heldout,env000085,9,13,0,6.18950080871582,2.3592803478240967,1,1,True,4.6582112312316895,1,0.39979150891304016
heldout,env000085,9,13,1,6.459994792938232,1.1897183656692505,-1,-1,True,6.115182399749756,1,0.06542586535215378
heldout,env000085,9,13,2,7.017522811889648,2.284871816635132,1,1,True,4.984711647033691,1,0.4295291006565094
heldout,env000085,9,13,3,7.099628925323486,2.705920457839966,1,1,True,4.919119834899902,1,0.49627989530563354
heldout,env000085,5,14,0,4.222949028015137,1.0933938026428223,-1,-1,True,1.9981862306594849,-1,0.7108879089355469
heldout,env000085,5,14,1,4.143162727355957,0.4799227714538574,-1,-1,True,1.856299638748169,-1,0.6242733597755432
heldout,env000085,5,14,2,4.11386775970459,1.0877336263656616,-1,-1,True,1.765541911125183,-1,0.7760151028633118
heldout,env000085,5,14,3,2.565492630004883,0.5518744587898254,-1,-1,True,1.3890355825424194,-1,0.584250271320343
