split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,C_random_coupling_safe_cost,C_random_coupling_mode,C_random_coupling_recovery
train,env000015,2,0,0,2.1828465461730957,0.48258209228515625,-1,-1,True,0.8830518126487732,-1,0.7644661664962769
train,env000015,2,0,1,4.513469696044922,0.44187501072883606,-1,-1,True,1.0935519933700562,-1,0.8399454951286316
train,env000015,2,0,2,1.7531722784042358,0.3354816436767578,-1,-1,True,1.2214778661727905,-1,0.3750426173210144
train,env000015,2,0,3,2.413652181625366,0.39462676644325256,-1,-1,True,0.8597677946090698,-1,0.7696210741996765
train,env000015,7,1,0,4.983565807342529,1.248145580291748,1,1,True,1.4893927574157715,1,0.9354163408279419
train,env000015,7,1,1,4.867823600769043,1.3380310535430908,1,1,True,1.650773048400879,1,0.9113993048667908
train,env000015,7,1,2,4.420969009399414,1.323610544204712,1,1,True,2.2410361766815186,1,0.7038038372993469
train,env000015,7,1,3,4.2690629959106445,1.2862581014633179,1,1,True,2.1080808639526367,1,0.7244799137115479
train,env000015,8,2,0,3.269007682800293,0.634253203868866,1,1,True,0.9214012026786804,1,0.8910152912139893
train,env000015,8,2,1,3.1170687675476074,0.6427638530731201,1,1,True,0.9565302729606628,1,0.8731900453567505
train,env000015,8,2,2,2.6776440143585205,0.644030749797821,1,1,True,1.0569665431976318,1,0.796944797039032
train,env000015,8,2,3,2.3160479068756104,0.6328626275062561,1,1,True,0.9810962080955505,1,0.7931103110313416
train,env000040,6,3,0,8.258456230163574,2.9726288318634033,1,1,True,4.8816938400268555,1,0.638833224773407
train,env000040,6,3,1,9.048842430114746,2.9458587169647217,1,1,True,4.431504249572754,1,0.7565706372261047
train,env000040,6,3,2,8.028947830200195,2.79110050201416,1,1,True,3.5168023109436035,0,0.8614503741264343
train,env000040,6,3,3,8.941008567810059,2.9740355014801025,-1,-1,True,4.483586311340332,1,0.7470155954360962
train,env000040,1,4,0,5.050752639770508,2.0620768070220947,1,1,True,2.8533406257629395,0,0.7352460026741028
train,env000040,1,4,1,6.319779396057129,2.055922508239746,-1,0,True,2.3925445079803467,1,0.9210522174835205
train,env000040,1,4,2,4.780625820159912,2.076554775238037,1,1,True,1.3958449363708496,1,1.2517352104187012
train,env000040,1,4,3,4.441793918609619,1.365906000137329,1,1,True,2.409353017807007,1,0.6607655882835388
train,env000040,7,5,0,7.827924728393555,2.3120667934417725,-1,-1,True,2.0620052814483643,1,1.045335054397583
train,env000040,7,5,1,7.188179969787598,1.5965064764022827,1,1,True,4.103568077087402,1,0.5516437888145447
train,env000040,7,5,2,7.704644203186035,3.475125312805176,-1,0,True,1.4472107887268066,1,1.4794669151306152
