split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,1.9572664499282837,0.3997781574726105,-1,-1,True,1.1765419244766235,-1,0.5012714862823486,1.4454851150512695,-1,0.32859399914741516
train,env000015,2,0,1,1.897085189819336,0.4863707721233368,-1,-1,True,1.1940178871154785,-1,0.4983767867088318,1.4154551029205322,-1,0.3414086401462555
train,env000015,2,0,2,2.1387908458709717,0.4671914875507355,-1,-1,True,1.1734263896942139,-1,0.5775094628334045,1.3145043849945068,-1,0.4931124448776245
train,env000015,2,0,3,2.0475878715515137,0.4685637950897217,-1,-1,True,1.1768193244934082,-1,0.5514599680900574,1.399791955947876,-1,0.41025081276893616
train,env000040,1,1,0,6.545735836029053,1.9810343980789185,-1,-1,True,1.4732997417449951,1,1.1112306118011475,3.792409658432007,0,0.6031777262687683
train,env000040,1,1,1,4.739604949951172,1.3583383560180664,1,1,True,1.5204427242279053,1,0.9520580768585205,3.002274751663208,1,0.5138104557991028
train,env000040,1,1,2,4.792386054992676,1.330915093421936,1,1,True,1.521233320236206,1,0.9450180530548096,3.457557439804077,1,0.38562464714050293
train,env000040,1,1,3,5.340714454650879,1.9797028303146362,1,1,True,1.5922609567642212,1,1.115275502204895,4.302034854888916,1,0.30903780460357666
train,env000064,4,2,0,10.773508071899414,5.943984031677246,1,1,True,7.695910453796387,1,0.6372465491294861,9.339740753173828,1,0.2968754768371582
train,env000064,4,2,1,10.2545166015625,6.199504852294922,1,1,True,8.438587188720703,1,0.4478234648704529,10.153207778930664,1,0.024983607232570648
train,env000064,4,2,2,10.41285228729248,5.905424118041992,1,1,True,8.411051750183105,1,0.4441114664077759,10.587007522583008,1,-0.03863738477230072
train,env000064,4,2,3,9.95743465423584,6.352059841156006,1,1,True,7.930459499359131,1,0.5622092485427856,9.131999015808105,1,0.22894586622714996
train,env000065,0,3,0,6.498782634735107,1.3646305799484253,0,1,True,2.6283340454101562,1,0.7538632750511169,3.9014806747436523,1,0.5058872699737549
train,env000065,0,3,1,6.774636268615723,1.5466337203979492,0,1,True,2.7958824634552,1,0.7610466480255127,4.301239013671875,1,0.47310560941696167
train,env000065,0,3,2,5.026793003082275,1.199362874031067,1,1,True,2.745473623275757,1,0.596044659614563,3.130617618560791,1,0.49541735649108887
train,env000065,0,3,3,5.396039009094238,1.1223727464675903,1,1,True,2.744201421737671,1,0.6205064654350281,3.4300267696380615,1,0.4600294232368469
train,env000082,2,4,0,8.560994148254395,3.5535292625427246,-1,-1,True,3.830064296722412,-1,0.9447754621505737,4.306849479675293,-1,0.849560558795929
train,env000082,2,4,1,6.241812705993652,3.460904359817505,-1,-1,True,3.8377506732940674,-1,0.8644880652427673,4.281240940093994,-1,0.7050113081932068
train,env000082,2,4,2,9.466033935546875,4.677010536193848,1,0,True,3.8232157230377197,-1,1.1782816648483276,4.69914436340332,-1,0.9953781962394714
train,env000082,2,4,3,8.209771156311035,3.5139002799987793,-1,-1,True,3.8089606761932373,-1,0.9371659159660339,4.275074005126953,-1,0.837905764579773
train,env000013,2,5,0,1.7953894138336182,0.33184295892715454,1,1,True,0.9409086108207703,1,0.5838425755500793,0.9798539876937866,1,0.5572323203086853
train,env000013,2,5,1,1.912607192993164,0.33223381638526917,1,1,True,0.8727784156799316,1,0.6579639911651611,0.9925878643989563,1,0.5821531414985657
train,env000013,2,5,2,1.7615188360214233,0.33472195267677307,1,1,True,0.9320931434631348,1,0.5813201069831848,1.0292541980743408,1,0.5132227540016174
train,env000013,2,5,3,2.316394090652466,0.3853059411048889,0,0,True,0.9269973039627075,1,0.7194890379905701,1.1628355979919434,-1,0.5973618626594543
train,env000028,4,6,0,3.590590476989746,0.5417327284812927,1,1,True,1.3081943988800049,0,0.7486069798469543,2.330927848815918,1,0.4131588935852051
train,env000028,4,6,1,3.7749643325805664,0.5456268787384033,1,1,True,0.2525199353694916,-1,1.090763807296753,1.4534131288528442,1,0.7188940048217773
train,env000028,4,6,2,3.2952871322631836,0.5648430585861206,1,1,True,0.8433055281639099,-1,0.8980156779289246,1.3048758506774902,1,0.7289698123931885
train,env000028,4,6,3,3.666213274002075,0.5323807001113892,1,1,True,0.23884522914886475,-1,1.093666672706604,1.4218623638153076,1,0.7161681056022644
train,env000076,2,7,0,7.91721773147583,1.0720939636230469,1,1,True,1.038132667541504,1,1.004961371421814,1.296255350112915,1,0.9672523736953735
train,env000076,2,7,1,9.806449890136719,0.9060981273651123,1,1,True,1.110939860343933,1,0.976984977722168,1.2688322067260742,1,0.9592450261116028
train,env000076,2,7,2,9.194031715393066,0.9792945384979248,1,1,True,1.1563512086868286,1,0.9784464836120605,1.014175295829773,1,0.9957538843154907
train,env000076,2,7,3,11.964110374450684,3.6406664848327637,1,1,True,1.1744235754013062,1,1.2963007688522339,2.2980570793151855,1,1.1613045930862427
train,env000079,0,8,0,6.522790908813477,1.301277756690979,1,1,True,0.23845672607421875,1,1.2035465240478516,4.616408824920654,1,0.3651014566421509
train,env000079,0,8,1,7.623318195343018,2.3634657859802246,-1,-1,True,0.25864744186401367,1,1.4001667499542236,6.920679569244385,-1,0.13358522951602936
train,env000079,0,8,2,6.770750045776367,1.6160403490066528,1,1,True,0.26846107840538025,1,1.2614266872406006,4.166368007659912,1,0.505243182182312
train,env000079,0,8,3,5.288674831390381,1.0105217695236206,1,1,True,0.2311851978302002,1,1.182166576385498,3.026909828186035,1,0.5286779403686523
train,env000071,0,9,0,9.044407844543457,3.3329787254333496,-1,-1,True,2.4130051136016846,1,1.1610759496688843,8.27183723449707,-1,0.1352674812078476
train,env000071,0,9,1,8.88328742980957,4.0664963722229,-1,0,True,2.6725008487701416,1,1.2894034385681152,5.793772220611572,-1,0.6414052844047546
train,env000071,0,9,2,8.90825080871582,3.7302722930908203,-1,-1,True,2.7209715843200684,1,1.1949217319488525,6.227083206176758,-1,0.5178020000457764
train,env000071,0,9,3,10.00210189819336,4.331643104553223,-1,-1,True,2.5342354774475098,1,1.3169775009155273,6.414546966552734,-1,0.632674515247345
heldout,env000017,2,10,0,4.070418357849121,0.581243097782135,-1,-1,True,3.7114195823669434,-1,0.1028892919421196,3.6689529418945312,-1,0.11506026238203049
heldout,env000017,2,10,1,3.695833921432495,0.5498713850975037,-1,-1,True,2.7641327381134033,-1,0.29615774750709534,3.060697078704834,-1,0.2018895149230957
heldout,env000017,2,10,2,3.853989601135254,0.7084793448448181,-1,-1,True,2.680968761444092,-1,0.37291911244392395,3.1901674270629883,-1,0.2110379934310913
heldout,env000017,2,10,3,3.9913344383239746,0.6394966244697571,-1,-1,True,2.778165340423584,-1,0.36194145679473877,3.1200692653656006,-1,0.25993654131889343
heldout,env000077,4,11,0,1.4749494791030884,0.1759936809539795,-1,-1,True,1.3682101964950562,0,0.08217314630746841,1.7211952209472656,-1,-0.1895720660686493
heldout,env000077,4,11,1,1.4263784885406494,0.1608363837003708,-1,-1,True,2.1466729640960693,1,-0.5691587924957275,2.2248151302337646,-1,-0.6309047937393188
heldout,env000077,4,11,2,1.549800992012024,0.20736733078956604,-1,-1,True,1.8910515308380127,1,-0.2542029023170471,1.849472999572754,-1,-0.22323039174079895
heldout,env000077,4,11,3,0.9512581825256348,0.25602203607559204,-1,-1,True,1.5917712450027466,0,-0.9212884902954102,1.2353805303573608,-1,-0.4086702764034271
heldout,env000090,2,12,0,4.808901786804199,2.465775966644287,-1,-1,True,5.158932209014893,-1,-0.14938609302043915,6.252225875854492,-1,-0.6159823536872864
heldout,env000090,2,12,1,5.925667762756348,2.1969292163848877,-1,-1,True,6.128846168518066,0,-0.054489850997924805,6.4134416580200195,-1,-0.13081471621990204
heldout,env000090,2,12,2,5.309075355529785,2.1744673252105713,-1,-1,True,4.892999172210693,-1,0.13273626565933228,4.017037391662598,-1,0.41218486428260803
heldout,env000090,2,12,3,5.104781150817871,2.2085213661193848,-1,-1,True,4.821835994720459,-1,0.0976932942867279,5.445971488952637,-1,-0.11780377477407455
heldout,env000088,1,13,0,4.801366329193115,1.2377973794937134,-1,-1,True,4.731823444366455,-1,0.01951495371758938,4.879942893981934,-1,-0.02204996347427368
heldout,env000088,1,13,1,9.255290031433105,1.1328831911087036,1,1,True,4.705009937286377,1,0.5602132678031921,7.503720283508301,1,0.2156466394662857
heldout,env000088,1,13,2,6.86326789855957,1.083962082862854,1,1,True,3.961054563522339,1,0.5021733641624451,7.904845714569092,1,-0.1802254170179367
heldout,env000088,1,13,3,4.648860454559326,1.7224212884902954,-1,-1,True,4.212034225463867,1,0.14926885068416595,10.032844543457031,1,-1.8397730588912964
heldout,env000069,2,14,0,5.747583866119385,0.678225040435791,-1,-1,True,5.844358444213867,-1,-0.01909010298550129,6.831078052520752,-1,-0.213733971118927
heldout,env000069,2,14,1,6.08693790435791,0.740858256816864,-1,-1,True,5.613750457763672,-1,0.08851110935211182,9.388419151306152,-1,-0.6175518035888672
heldout,env000069,2,14,2,5.33612585067749,0.4990197718143463,-1,-1,True,6.539668560028076,-1,-0.24881461262702942,9.351366996765137,-1,-0.8300915956497192
heldout,env000069,2,14,3,5.463584899902344,0.8750173449516296,-1,-1,True,6.153249263763428,-1,-0.15030057728290558,7.448575019836426,-1,-0.4325947165489197
heldout,env000091,3,15,0,2.8232014179229736,0.29744455218315125,1,1,True,3.5242884159088135,1,-0.2775750160217285,1.920548439025879,-1,0.3573791980743408
heldout,env000091,3,15,1,2.9470369815826416,0.2899244427680969,1,0,True,3.5541839599609375,1,-0.22849877178668976,2.8743388652801514,1,0.027359817177057266
heldout,env000091,3,15,2,2.9243998527526855,0.2811630666255951,1,0,True,3.7500691413879395,1,-0.31237053871154785,2.4347286224365234,1,0.18525439500808716
heldout,env000091,3,15,3,2.8386082649230957,0.3029683828353882,1,1,True,3.3120336532592773,1,-0.1867084503173828,2.473548173904419,1,0.14397159218788147
heldout,env000046,4,16,0,3.305405855178833,0.5725968480110168,-1,-1,True,5.13616943359375,-1,-0.669920027256012,2.5146303176879883,-1,0.2893636226654053
heldout,env000046,4,16,1,2.797273635864258,0.5755936503410339,-1,-1,True,2.657952308654785,-1,0.06270989775657654,2.8867199420928955,-1,-0.04026066139340401
heldout,env000046,4,16,2,2.804774045944214,0.26192209124565125,-1,-1,True,2.665459632873535,-1,0.05478667840361595,1.7051409482955933,-1,0.4324408769607544
heldout,env000046,4,16,3,3.199955940246582,0.5808870196342468,-1,-1,True,2.741058826446533,-1,0.17521384358406067,2.8052945137023926,-1,0.15068767964839935
