split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,1.9572657346725464,0.3997756838798523,-1,-1,True,1.17014741897583,-1,0.5053761005401611,1.4414856433868408,-1,0.3311610817909241
train,env000015,2,0,1,1.8970845937728882,0.48637115955352783,-1,-1,True,1.1776411533355713,-1,0.5099855065345764,1.4973081350326538,-1,0.2833860218524933
train,env000015,2,0,2,2.1387975215911865,0.4671851396560669,-1,-1,True,1.0339860916137695,-1,0.6609256267547607,1.326661467552185,-1,0.48583993315696716
train,env000015,2,0,3,2.0475850105285645,0.46856409311294556,-1,-1,True,0.891319751739502,-1,0.7322672009468079,1.3918914794921875,-1,0.415253221988678
train,env000040,1,1,0,6.54573917388916,1.9810456037521362,-1,-1,True,1.7333520650863647,1,1.0542628765106201,4.414338111877441,0,0.46693190932273865
train,env000040,1,1,1,4.73961067199707,1.358424186706543,1,1,True,1.6452990770339966,1,0.9151555895805359,3.5155344009399414,1,0.362025648355484
train,env000040,1,1,2,4.792385101318359,1.3309097290039062,1,1,True,1.5729113817214966,1,0.930087149143219,3.432020664215088,1,0.39300134778022766
train,env000040,1,1,3,5.3407182693481445,1.9858736991882324,1,1,True,1.605926275253296,1,1.1132533550262451,4.183356761932373,1,0.3449821472167969
train,env000064,4,2,0,10.773459434509277,5.9455671310424805,1,1,True,7.709521293640137,1,0.6346326470375061,9.455233573913574,1,0.27304375171661377
train,env000064,4,2,1,10.254511833190918,6.200584888458252,1,1,True,7.578212261199951,1,0.6601746082305908,9.397446632385254,1,0.21141605079174042
train,env000064,4,2,2,10.412781715393066,5.907715797424316,1,1,True,7.550076961517334,1,0.635441243648529,9.840719223022461,1,0.12698204815387726
train,env000064,4,2,3,9.957427024841309,6.357833385467529,1,1,True,7.634488582611084,1,0.6453335285186768,9.71824836730957,1,0.06644601374864578
heldout,env000017,2,3,0,4.070417404174805,0.5812411904335022,-1,-1,True,4.064900875091553,-1,0.0015810405602678657,3.7899491786956787,-1,0.08038236200809479
heldout,env000017,2,3,1,3.6958346366882324,0.549871027469635,-1,-1,True,3.620743989944458,-1,0.02386888489127159,3.4257090091705322,-1,0.08586419373750687
