split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,1.9572664499282837,0.3997781574726105,-1,-1,True,1.133541226387024,-1,0.5288805365562439,1.4450782537460327,-1,0.3288552463054657
train,env000015,2,0,1,1.897085189819336,0.4863707721233368,-1,-1,True,1.2317872047424316,-1,0.4716036021709442,1.4154376983642578,-1,0.341420978307724
train,env000015,2,0,2,2.1387908458709717,0.4671914875507355,-1,-1,True,1.1163073778152466,-1,0.61167973279953,1.3145475387573242,-1,0.49308663606643677
train,env000015,2,0,3,2.0475878715515137,0.4685637950897217,-1,-1,True,1.1647487878799438,-1,0.5591042637825012,1.3997642993927002,-1,0.4102683365345001
train,env000040,1,1,0,6.545735836029053,1.9810343980789185,-1,-1,True,1.506543517112732,1,1.1039477586746216,3.79266619682312,0,0.6031215190887451
train,env000040,1,1,1,4.739604949951172,1.3583383560180664,1,1,True,1.5459140539169312,1,0.9445250034332275,3.002551555633545,1,0.5137286186218262
train,env000040,1,1,2,4.792386054992676,1.330915093421936,1,1,True,1.4588435888290405,1,0.9630420804023743,3.457669496536255,1,0.3855922818183899
train,env000040,1,1,3,5.340714454650879,1.9797028303146362,1,1,True,1.5320398807525635,1,1.133193016052246,4.302151679992676,1,0.3090030550956726
train,env000064,4,2,0,10.773508071899414,5.943984031677246,1,1,True,7.637487888336182,1,0.6493435502052307,9.339731216430664,1,0.2968774735927582
train,env000064,4,2,1,10.2545166015625,6.199504852294922,1,1,True,7.181131839752197,1,0.7579225301742554,10.152908325195312,1,0.025057455524802208
train,env000064,4,2,2,10.41285228729248,5.905424118041992,1,1,True,7.355661869049072,1,0.6782560348510742,10.587011337280273,1,-0.03863823041319847
train,env000064,4,2,3,9.95743465423584,6.352059841156006,1,1,True,7.44579553604126,1,0.6966374516487122,9.132118225097656,1,0.22891280055046082
train,env000065,0,3,0,6.498782634735107,1.3646305799484253,0,1,True,2.971334218978882,1,0.6870557069778442,3.901566982269287,1,0.5058704018592834
train,env000065,0,3,1,6.774636268615723,1.5466337203979492,0,1,True,3.0680339336395264,1,0.7089901566505432,4.301291465759277,1,0.473095566034317
train,env000065,0,3,2,5.026793003082275,1.199362874031067,1,1,True,3.0930163860321045,1,0.5052415132522583,3.1303091049194336,1,0.4954979717731476
train,env000065,0,3,3,5.396039009094238,1.1223727464675903,1,1,True,3.179246425628662,1,0.5187097787857056,3.430044174194336,1,0.4600253403186798
train,env000082,2,4,0,8.560994148254395,3.5535292625427246,-1,-1,True,3.8060286045074463,-1,0.9495754837989807,4.306839942932129,-1,0.8495624661445618
train,env000082,2,4,1,6.241812705993652,3.460904359817505,-1,-1,True,3.8660566806793213,-1,0.8543093800544739,4.281245708465576,-1,0.7050095796585083
train,env000082,2,4,2,9.466033935546875,4.677010536193848,1,0,True,3.7969794273376465,-1,1.1837600469589233,4.699124813079834,-1,0.9953823089599609
train,env000082,2,4,3,8.209771156311035,3.5139002799987793,-1,-1,True,3.7993664741516113,-1,0.9392091035842896,4.275079727172852,-1,0.8379045128822327
train,env000013,2,5,0,1.7953894138336182,0.33184295892715454,1,1,True,0.1626683473587036,1,1.1155922412872314,0.9799227118492126,1,0.5571853518486023
train,env000013,2,5,1,1.912607192993164,0.33223381638526917,1,1,True,0.10219455510377884,1,1.1455600261688232,0.9925782680511475,1,0.5821592211723328
