split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,C_random_coupling_safe_cost,C_random_coupling_mode,C_random_coupling_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,2.1828465461730957,0.48258209228515625,-1,-1,True,1.2673569917678833,-1,0.5384395122528076,1.3969494104385376,-1,0.46222051978111267,1.4867994785308838,-1,0.40937575697898865
train,env000015,2,0,1,4.513469696044922,0.44187501072883606,-1,-1,True,1.3025089502334595,-1,0.7886248826980591,1.4676663875579834,-1,0.7480615377426147,1.4448434114456177,-1,0.7536669373512268
train,env000015,2,0,2,1.7531722784042358,0.3354816436767578,-1,-1,True,0.9737884998321533,-1,0.549755871295929,1.3075228929519653,-1,0.31434881687164307,1.1921296119689941,-1,0.39574408531188965
train,env000015,2,0,3,2.413652181625366,0.39462676644325256,-1,-1,True,1.0380651950836182,-1,0.6813123822212219,1.331650733947754,-1,0.5359028577804565,1.132625699043274,-1,0.6344776749610901
train,env000015,7,1,0,4.983565807342529,1.248145580291748,1,1,True,1.005283236503601,1,1.0650160312652588,2.660832643508911,1,0.6218130588531494,3.3693010807037354,1,0.43215078115463257
train,env000015,7,1,1,4.867823600769043,1.3380310535430908,1,1,True,1.0758558511734009,1,1.074275016784668,3.172823905944824,1,0.48019811511039734,3.292834758758545,1,0.4461987018585205
train,env000015,7,1,2,4.420969009399414,1.323610544204712,1,1,True,1.0128670930862427,1,1.100325345993042,2.817988634109497,1,0.5175314545631409,2.667527914047241,1,0.5661085247993469
train,env000015,7,1,3,4.2690629959106445,1.2862581014633179,1,1,True,1.0176396369934082,1,1.0900557041168213,3.2119596004486084,1,0.3543991148471832,2.2157344818115234,1,0.6883885264396667
train,env000015,8,2,0,3.269007682800293,0.634253203868866,1,1,True,1.47318434715271,1,0.6815903782844543,1.6872798204421997,1,0.6003322005271912,1.6502588987350464,1,0.6143831610679626
train,env000015,8,2,1,3.1170687675476074,0.6427638530731201,1,1,True,1.481906771659851,1,0.660857081413269,1.694091558456421,1,0.5751017928123474,1.794199824333191,1,0.5346426367759705
train,env000015,8,2,2,2.6776440143585205,0.644030749797821,1,1,True,1.2375071048736572,1,0.7081665992736816,1.7164950370788574,1,0.47263115644454956,1.723181962966919,1,0.469342976808548
train,env000015,8,2,3,2.3160479068756104,0.6328626275062561,1,1,True,1.3844361305236816,1,0.55348140001297,1.7493937015533447,1,0.336655855178833,1.8464902639389038,1,0.2789696753025055
train,env000040,6,3,0,8.258456230163574,2.9726288318634033,1,1,True,1.8307830095291138,1,1.2160202264785767,7.874964237213135,1,0.07255098223686218,7.869865417480469,1,0.07351560145616531
train,env000040,6,3,1,9.048842430114746,2.9458587169647217,1,1,True,1.07023024559021,1,1.307329773902893,7.927519798278809,1,0.1837335228919983,7.999014854431152,1,0.17201875150203705
train,env000040,6,3,2,8.028947830200195,2.79110050201416,1,1,True,0.7436054348945618,1,1.3909038305282593,8.209050178527832,1,-0.03438480198383331,8.438209533691406,1,-0.07813547551631927
train,env000040,6,3,3,8.941008567810059,2.9740355014801025,-1,-1,True,0.8700871467590332,1,1.352598786354065,7.841169357299805,1,0.18432112038135529,7.897083282470703,-1,0.17495055496692657
train,env000040,1,4,0,5.050752639770508,2.0620768070220947,1,1,True,1.8444881439208984,1,1.07280433177948,4.819040298461914,0,0.07753010094165802,5.002629280090332,1,0.0161019004881382
train,env000040,1,4,1,6.319779396057129,2.055922508239746,-1,0,True,1.9250520467758179,1,1.0306929349899292,4.743536949157715,1,0.36967527866363525,6.1737565994262695,-1,0.034246645867824554
train,env000040,1,4,2,4.780625820159912,2.076554775238037,1,1,True,1.8611246347427368,1,1.0796688795089722,4.165953159332275,1,0.2273138016462326,4.728898525238037,1,0.01912941411137581
train,env000040,1,4,3,4.441793918609619,1.365906000137329,1,1,True,1.9123893976211548,1,0.8223331570625305,4.360874176025391,1,0.026307767257094383,3.771418809890747,1,0.21794523298740387
train,env000040,7,5,0,7.827924728393555,2.3120667934417725,-1,-1,True,2.9607651233673096,1,0.882394015789032,4.4174699783325195,1,0.6182999610900879,4.781649112701416,0,0.5522759556770325
train,env000040,7,5,1,7.188179969787598,1.5965064764022827,1,1,True,3.15840482711792,1,0.7206742763519287,4.94403076171875,1,0.4013376832008362,4.727370738983154,1,0.4400845766067505
train,env000040,7,5,2,7.704644203186035,3.475125312805176,-1,0,True,2.979720115661621,1,1.1171303987503052,4.559786796569824,1,0.7435497045516968,4.811893939971924,1,0.6839430928230286
train,env000040,7,5,3,5.0452117919921875,1.257378101348877,0,1,True,2.9301047325134277,1,0.5583949089050293,4.254539966583252,1,0.20873984694480896,2.580801248550415,1,0.6506121158599854
train,env000064,4,6,0,9.696022987365723,5.94744873046875,1,1,True,7.694625377655029,1,0.533909022808075,9.470858573913574,1,0.06006668135523796,9.770577430725098,1,-0.019888747483491898
train,env000064,4,6,1,11.32928466796875,6.352625846862793,1,1,True,8.056774139404297,1,0.6575717926025391,9.418167114257812,1,0.3840161859989166,9.804070472717285,1,0.3064735233783722
train,env000064,4,6,2,11.299859046936035,6.328854560852051,1,1,True,7.6798834800720215,1,0.728218138217926,9.648165702819824,1,0.3322654962539673,9.455709457397461,1,0.37098127603530884
train,env000064,4,6,3,9.610685348510742,6.248664379119873,1,1,True,7.985774040222168,1,0.4833138585090637,9.661308288574219,1,-0.015057294629514217,9.75480842590332,1,-0.0428679883480072
train,env000064,5,7,0,5.677886486053467,2.851547956466675,-1,-1,True,1.259590744972229,-1,1.5632578134536743,2.375823497772217,-1,1.168318271636963,2.5936238765716553,-1,1.0912573337554932
train,env000064,5,7,1,5.203913688659668,2.3266260623931885,-1,-1,True,1.276062250137329,-1,1.36512291431427,2.6143603324890137,-1,0.8999980688095093,2.6511659622192383,-1,0.8872063159942627
train,env000064,5,7,2,5.928233623504639,3.0371322631835938,-1,-1,True,1.2662912607192993,-1,1.6125143766403198,2.6657538414001465,-1,1.128455638885498,2.954740047454834,-1,1.0284985303878784
train,env000064,5,7,3,5.9879984855651855,2.6260807514190674,-1,-1,True,1.2723890542984009,-1,1.4026546478271484,2.429131507873535,-1,1.0585824251174927,2.5461483001708984,-1,1.0237758159637451
train,env000064,8,8,0,5.43072509765625,2.153271436691284,-1,-1,True,1.884682297706604,1,1.0819505453109741,4.498806953430176,-1,0.2843421399593353,4.3216938972473145,-1,0.33838197588920593
train,env000064,8,8,1,5.4550652503967285,2.128068208694458,-1,-1,True,2.041508436203003,1,1.026017427444458,4.395501136779785,0,0.3184746205806732,4.283179759979248,-1,0.35223519802093506
train,env000064,8,8,2,5.402295112609863,2.022937536239624,1,1,True,1.9075111150741577,1,1.034156322479248,5.036369323730469,-1,0.1082826480269432,4.399148941040039,1,0.2968452274799347
train,env000064,8,8,3,6.670476913452148,2.158482789993286,-1,-1,True,3.542109489440918,1,0.6933447122573853,5.288536071777344,-1,0.30628159642219543,6.186623573303223,-1,0.10723713040351868
heldout,env000068,7,9,0,4.920500755310059,1.3414084911346436,-1,-1,True,4.704130172729492,-1,0.06045403704047203,4.649022579193115,-1,0.07585112750530243,4.696639537811279,-1,0.06254692375659943
heldout,env000068,7,9,1,5.620567798614502,1.5228534936904907,1,0,True,5.7771220207214355,-1,-0.03820525482296944,5.076002597808838,-1,0.1328948587179184,5.3878583908081055,-1,0.056790050119161606
heldout,env000068,7,9,2,5.768579006195068,1.734701156616211,-1,-1,True,5.627321720123291,-1,0.03501773998141289,4.953007698059082,-1,0.20218046009540558,5.053500652313232,-1,0.17726822197437286
heldout,env000068,7,9,3,5.158771514892578,1.7506014108657837,-1,-1,True,5.160157203674316,-1,-0.0004065785033162683,4.750235080718994,-1,0.11986972391605377,4.882423400878906,-1,0.08108401298522949
heldout,env000068,1,10,0,6.850508689880371,1.8047863245010376,1,1,True,5.90102481842041,1,0.1881760060787201,5.6407976150512695,1,0.23974981904029846,6.641697883605957,1,0.04138372838497162
heldout,env000068,1,10,1,5.535959243774414,2.347576141357422,1,1,True,5.667245388031006,1,-0.04117640107870102,5.450952529907227,1,0.026661386713385582,5.634494304656982,1,-0.03090439736843109
heldout,env000068,1,10,2,7.593505382537842,3.2173614501953125,1,1,True,6.7193145751953125,1,0.19976280629634857,5.259449481964111,1,0.5333590507507324,7.092136859893799,1,0.1145685613155365
heldout,env000068,1,10,3,8.273934364318848,2.7014570236206055,-1,-1,True,5.942012310028076,0,0.4184713363647461,7.223094463348389,1,0.18857678771018982,8.44779109954834,-1,-0.031199181452393532
heldout,env000068,6,11,0,3.2882578372955322,1.0958889722824097,-1,-1,True,2.938498020172119,-1,0.15953510999679565,3.0845866203308105,-1,0.09290006011724472,2.975179672241211,-1,0.1428035944700241
heldout,env000068,6,11,1,3.5262393951416016,1.2087353467941284,-1,-1,True,3.1112687587738037,-1,0.17905929684638977,3.519462823867798,-1,0.0029240818694233894,3.1213934421539307,-1,0.17469051480293274
heldout,env000068,6,11,2,3.465341091156006,1.1248061656951904,-1,-1,True,2.8184711933135986,-1,0.2763769328594208,3.2706210613250732,-1,0.08319467306137085,2.919434070587158,-1,0.2332402765750885
