metric,gt_mean,gt_std,stage1_mean,stage1_std,stage1_vs_gt_pct,stage2_mean,stage2_std,stage2_vs_gt_pct,stage2_vs_stage1_pct
collision_risk_mean,0.16215632732792387,0.10527704758619587,0.20524655609466141,0.11829301533269905,26.573263720918415,0.20405977661682057,0.12814998971023245,25.841390046866753,-0.57822138146439
unstable_point_ratio,0.24045455247163772,0.12666984304885415,0.2967727349549532,0.14325870627436715,23.421549590225737,0.29527273523807523,0.15291914845659263,22.79773120324938,-0.5054371696413712
path_length,31.224136772155763,5.712390770079752,31.644278312683106,5.070433829809909,1.3455665518623723,31.69021933746338,5.043267049465198,1.4926996018936216,0.14517956239946192
estimated_time,21.627428607940672,0.8760803652964051,21.423475830078125,0.9976708250499948,-0.9430283255136207,21.393260343551635,0.7368283086198674,-1.0827374285828564,-0.14103914212957913
smoothness_total,4.450243836604058,7.6981496926766315,2.3761109362393618,3.0131020989369723,-46.60717425949804,2.413370220929384,3.0732056596924826,-45.769932839709185,1.5680784977704514
jerk_x,0.4222721412498504,0.2235810604865846,0.43926604559272525,0.23893894564600118,4.024396270218525,0.4537481637746096,0.22807389703440345,7.453966145399998,3.2968899586522626
jerk_y,0.4237988931685686,0.20414668320509544,0.49379988270252945,0.27440301179567617,16.517501696480952,0.47411700078099966,0.2450404146402315,11.873109700096743,-3.986003758029836
jerk_yaw,1.4325933203101158,1.433612016354388,1.0495245650112628,0.7997530385079767,-26.739532399085462,1.064804281592369,0.8221556367886104,-25.672955000334724,1.4558703127052197
curvature_mean,0.27394727151840925,0.26867911091661073,0.26111326687037945,1.0489148780822293,-4.684844835302151,0.23363302133232355,0.45694227224712053,-14.716061895953564,-10.52426242533853
speed_mean,1.4528014707565307,0.26183801834125997,1.5101260403394698,0.24973291020510857,3.9457951204874595,1.5113990955352783,0.24793366812305503,4.033422729665832,0.08430125439590844
out_of_bounds_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heading_error_mean,0.15923509262502195,0.049743394704799805,0.23838496486842634,0.07695326973895181,49.70629930974393,0.2441352147385478,0.07644417742559419,53.317469271852005,2.4121696807403703
