split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,1.9572657346725464,0.3997756838798523,-1,-1,True,0.9134158492088318,-1,0.6702128648757935,1.197623372077942,-1,0.48773494362831116
train,env000015,2,0,1,1.8970845937728882,0.48637115955352783,-1,-1,True,1.3070710897445679,-1,0.41823768615722656,1.5043144226074219,-1,0.27841952443122864
train,env000015,2,0,2,2.1387975215911865,0.4671851396560669,-1,-1,True,1.2340490818023682,-1,0.5412429571151733,1.3488640785217285,-1,0.47255778312683105
train,env000015,2,0,3,2.0475850105285645,0.46856409311294556,-1,-1,True,1.1988370418548584,-1,0.5375153422355652,1.4042017459869385,-1,0.4074570834636688
train,env000040,1,1,0,6.54573917388916,1.9810456037521362,-1,-1,True,1.9166842699050903,1,1.0140998363494873,4.5993146896362305,0,0.426408588886261
train,env000040,1,1,1,4.73961067199707,1.358424186706543,1,1,True,1.9889472723007202,1,0.8135201334953308,3.968768835067749,1,0.22797968983650208
train,env000040,1,1,2,4.792385101318359,1.3309097290039062,1,1,True,1.8200334310531616,1,0.8586949706077576,3.9917774200439453,1,0.23129087686538696
train,env000040,1,1,3,5.3407182693481445,1.9858736991882324,1,1,True,1.973046898841858,1,1.0038233995437622,4.438247203826904,1,0.26900532841682434
train,env000064,4,2,0,10.773459434509277,5.945574760437012,1,1,True,8.714898109436035,1,0.4263899028301239,9.469308853149414,1,0.2701287865638733
train,env000064,4,2,1,10.254511833190918,6.2005839347839355,1,1,True,8.049362182617188,1,0.5439538359642029,9.829270362854004,1,0.10489615797996521
train,env000064,4,2,2,10.412781715393066,5.907715797424316,1,1,True,8.056245803833008,1,0.5230857729911804,9.471139907836914,1,0.20901842415332794
train,env000064,4,2,3,9.957427024841309,6.357833385467529,1,1,True,8.550148963928223,1,0.3909547030925751,9.332490921020508,1,0.17361295223236084
train,env000065,0,3,0,6.498783111572266,1.3635270595550537,0,1,True,3.1942801475524902,1,0.6434933543205261,4.357137203216553,1,0.41704756021499634
train,env000065,0,3,1,6.774649143218994,1.5466324090957642,0,1,True,3.4883127212524414,1,0.6286009550094604,4.874096393585205,1,0.36353224515914917
train,env000065,0,3,2,5.026790618896484,1.2019925117492676,1,1,True,3.1378750801086426,1,0.4938601851463318,3.5071260929107666,1,0.39731889963150024
train,env000065,0,3,3,5.396038055419922,1.1223738193511963,1,1,True,3.2892162799835205,1,0.4929778277873993,3.74505615234375,1,0.3863152861595154
train,env000082,2,4,0,8.56099796295166,3.5534720420837402,-1,-1,True,4.137886047363281,-1,0.8832928538322449,4.561948299407959,-1,0.7986078858375549
train,env000082,2,4,1,6.24179220199585,3.443647623062134,-1,-1,True,4.127682209014893,-1,0.7555399537086487,4.53948450088501,-1,0.6083701848983765
train,env000082,2,4,2,9.466033935546875,4.6197710037231445,1,0,True,4.239016532897949,-1,1.0785666704177856,4.7939910888671875,-1,0.9640506505966187
train,env000082,2,4,3,8.209795951843262,3.5547540187835693,-1,-1,True,4.153239727020264,-1,0.8714328408241272,4.399399757385254,-1,0.818552553653717
train,env000013,2,5,0,1.7953883409500122,0.33184829354286194,1,1,True,0.9617271423339844,1,0.5696196556091309,1.0599207878112793,1,0.5025264024734497
train,env000013,2,5,1,1.9126046895980835,0.3322397470474243,1,1,True,0.9414960145950317,1,0.6144838333129883,1.0430052280426025,1,0.5502523183822632
train,env000013,2,5,2,1.761494517326355,0.33474841713905334,1,1,True,1.016545295715332,1,0.5221315622329712,1.1303611993789673,1,0.44235852360725403
train,env000013,2,5,3,2.3163986206054688,0.3852991461753845,0,0,True,0.967450737953186,1,0.6985387802124023,1.203971266746521,0,0.576059103012085
train,env000028,4,6,0,3.590587615966797,0.5452867150306702,1,1,True,1.7531046867370605,-1,0.6033830046653748,2.860722064971924,1,0.23966942727565765
train,env000028,4,6,1,3.774963617324829,0.5456264615058899,1,1,True,1.714467167854309,-1,0.6380555033683777,2.435967445373535,1,0.41463497281074524
train,env000028,4,6,2,3.2952892780303955,0.5648416876792908,1,1,True,1.5854312181472778,-1,0.6262189745903015,1.9080322980880737,1,0.5080694556236267
train,env000028,4,6,3,3.666208505630493,0.532381534576416,1,1,True,1.6289199590682983,-1,0.6500961184501648,2.4304399490356445,1,0.39433208107948303
train,env000076,2,7,0,7.917211055755615,1.072095274925232,1,1,True,0.9459971785545349,1,1.0184216499328613,1.4069164991378784,1,0.9510861039161682
