path_id,restart,selected_cluster,exploratory_cluster,best_cost,alpha,initial_norm,optimized_norm,delta_norm,radial_signed,radial_magnitude,orthogonal_norm,radial_delta_energy_fraction,optimized_pc1,optimized_pc2
40,0,0,1,0.0037681511603295803,0.8508915883582174,6.984770294077518,7.981786350320879,5.428720496428686,-1.0414880042326053,1.0414880042326053,5.327880344507045,0.03680557272310453,-0.6305818823369624,2.6182363869351475
40,1,0,1,0.0033385029528290033,1.414540676464601,6.44475968286667,10.177268249548563,5.254143876571108,2.6716150385873365,2.6716150385873365,4.524212744920784,0.25854958006060225,2.8394299162381764,2.803693518623914
40,2,0,0,0.003668457269668579,1.0937010224518926,6.043382996521112,9.907478864378948,7.402112694044224,0.5662711658424107,0.5662711658424107,7.380420672432305,0.0058524472894518325,-4.742256290766991,0.9649904453866871
40,3,0,1,0.0037098084576427937,0.7372481321053518,5.125212244528772,7.872551711106244,7.036554356596599,-1.3466590906064573,1.3466590906064573,6.906490172803084,0.036626484877307686,-0.10170717946660482,1.16894788687365
40,4,0,0,0.003977969288825989,0.8192990373543431,7.721950949399803,7.869080512546523,4.883007875758042,-1.395363970059089,1.395363970059089,4.679393689974803,0.08165826723443276,-3.6224365639102802,0.40584183979737665
40,5,0,1,0.003707604017108679,0.9086619677034921,6.787094213691037,8.390828408207108,5.7233086671428985,-0.6199198304895541,0.6199198304895541,5.68963632433206,0.011732126060907259,2.2463840209570014,-2.7518125300569216
40,6,0,1,0.006181265693157911,1.0951291872367,6.2654482397392,9.424875997587094,6.488735878821678,0.5960269987200024,0.5960269987200024,6.461303670460364,0.008437458933325393,2.000006193644272,-1.2281167644294957
40,7,0,1,0.004050660878419876,0.8516204325664886,6.6590263332843325,7.063010649931512,4.324646662662647,-0.988063446861091,0.988063446861091,4.210261201143718,0.05219974794445972,-0.4769958243722287,-2.6685872250758957
40,8,0,0,0.003773069940507412,1.0479190981637883,5.9937616346692915,8.912854718691285,6.330149792058066,0.28721565214206574,0.28721565214206574,6.3236305678824545,0.002058677098222076,-2.125820528080752,-3.6526339213930274
40,9,0,1,0.0035341561306267977,0.901923639758417,7.222677712497779,10.58170304443058,8.368875631583542,-0.7083739412397845,0.7083739412397845,8.338841987727388,0.007164583115047253,1.516431921475916,4.958204180903583
40,10,0,1,0.003683187998831272,0.9739451425116031,5.5333973511075865,8.329692582152594,6.353016044304,-0.14417187940978088,0.14417187940978088,6.35137995465328,0.0005149928690749518,3.1667369092094195,-0.04736221563303782
40,11,0,0,0.0034365388564765453,1.2365938851781757,7.3604412550835505,10.440497890822758,5.40300239837963,1.741435393165945,1.741435393165945,5.114668873771303,0.10388298328673568,-2.1650215428136694,-2.0589534339558595
40,12,0,1,0.00366940232925117,1.1414512323291686,5.3036306718741075,9.01628048107282,6.723629519276939,0.7502050943553688,0.7502050943553688,6.681645473152216,0.012449515992657652,3.1489059342831993,-2.0238159650153773
