condition_id,map_id,path_num,angle_deg,translation_x,translation_y,control_equivariance_error_m,control_equivariance_error_relative,dense_equivariance_error_m,dense_equivariance_error_relative,mode_changed,strict_safe_changed,cost_absolute_difference,cost_relative_difference,transformed_raster_valid_fraction
0,env000010,0,-180.0,0.0,0.0,0.0869905948638916,0.012015881016850471,0.09031843394041061,0.01277084555476904,False,False,0.10432100296020508,0.03824004583694639,0.9800999760627747
0,env000010,0,-135.0,0.0,0.0,0.09589000046253204,0.013245142996311188,0.09635566920042038,0.01362449862062931,False,False,0.17021989822387695,0.06239603268504281,0.8278850317001343
0,env000010,0,-90.0,0.0,0.0,0.059533845633268356,0.008223321288824081,0.06171037629246712,0.008725723251700401,False,False,0.17780327796936035,0.06517580646824615,0.9900000095367432
0,env000010,0,-45.0,0.0,0.0,0.1247468888759613,0.017231101170182228,0.1283724457025528,0.018151607364416122,False,False,0.2700035572052002,0.09897286366777024,0.8281612396240234
0,env000010,0,45.0,0.0,0.0,0.13650158047676086,0.018854759633541107,0.13956664502620697,0.019734444096684456,False,False,0.13002228736877441,0.04766114289280003,0.8281612992286682
0,env000010,0,90.0,0.0,0.0,0.06258166581392288,0.008644312620162964,0.06524961441755295,0.009226164780557156,False,False,0.12830829620361328,0.047032860007666294,0.9900000095367432
0,env000010,0,135.0,0.0,0.0,0.09499526768922806,0.013121554628014565,0.0945504754781723,0.013369247317314148,False,False,0.11766576766967773,0.043131720568717925,0.8278850317001343
0,env000010,0,180.0,0.0,0.0,0.08699025958776474,0.012015835382044315,0.09031806886196136,0.01277079340070486,False,False,0.10432028770446777,0.03823978365185035,0.9800999760627747
1,env000020,0,-180.0,0.0,0.0,0.06941580772399902,0.013527204282581806,0.07180570065975189,0.014291346073150635,False,False,1.0734455585479736,0.7902197784646555,0.9800999760627747
1,env000020,0,-135.0,0.0,0.0,0.034500110894441605,0.006723109167069197,0.034791816025972366,0.006924545858055353,False,False,0.43357253074645996,0.319175561784688,0.8278850317001343
1,env000020,0,-90.0,0.0,0.0,0.06545913964509964,0.012756160460412502,0.06845014542341232,0.013623496517539024,False,False,0.7116591930389404,0.5238897915104971,0.9900000095367432
1,env000020,0,-45.0,0.0,0.0,0.04773196205496788,0.009301627986133099,0.04877786338329315,0.00970816146582365,False,True,0.597038209438324,0.4395112521919313,0.8281612396240234
1,env000020,0,45.0,0.0,0.0,0.04559658467769623,0.008885502815246582,0.047366559505462646,0.009427271783351898,False,False,0.3075263500213623,0.22638633347614198,0.8281612992286682
1,env000020,0,90.0,0.0,0.0,0.07421977818012238,0.014463364146649837,0.07741191238164902,0.0154071394354105,False,False,1.3183343410491943,0.9704953014435374,0.9900000095367432
1,env000020,0,135.0,0.0,0.0,0.045343805104494095,0.008836242370307446,0.04495842382311821,0.008947986178100109,False,False,0.20431077480316162,0.15040391561290445,0.8278850317001343
1,env000020,0,180.0,0.0,0.0,0.06941578537225723,0.013527200557291508,0.0718056857585907,0.014291343279182911,False,False,1.0734460353851318,0.790220129489587,0.9800999760627747
2,env000022,0,-180.0,0.0,0.0,0.12214792519807816,0.03297923505306244,0.12784390151500702,0.035115811973810196,False,False,0.07347297668457031,0.04939167958684907,0.9800999760627747
2,env000022,0,-135.0,0.0,0.0,0.05048489570617676,0.013630629517138004,0.05135414004325867,0.014105813577771187,False,False,0.7124131917953491,0.4789146389653468,0.8278850317001343
2,env000022,0,-90.0,0.0,0.0,0.09216570109128952,0.024884207174181938,0.0963013768196106,0.026451796293258667,False,False,0.600307285785675,0.40355225078833346,0.9900000095367432
2,env000022,0,-45.0,0.0,0.0,0.050652697682380676,0.013675935566425323,0.05224175751209259,0.014349622651934624,False,False,0.5936954021453857,0.3991074596152643,0.8281612396240234
2,env000022,0,45.0,0.0,0.0,0.047539640218019485,0.01283542811870575,0.04775390774011612,0.013116911984980106,False,False,0.600761890411377,0.40385785547490777,0.8281612992286682
2,env000022,0,90.0,0.0,0.0,0.15125952661037445,0.04083919897675514,0.15774916112422943,0.043330106884241104,False,False,0.32059311866760254,0.2155164158239999,0.9900000095367432
2,env000022,0,135.0,0.0,0.0,0.15202242136001587,0.0410451740026474,0.15920189023017883,0.043729137629270554,False,False,0.3016279935836792,0.20276724703108273,0.8278850317001343
2,env000022,0,180.0,0.0,0.0,0.12214802205562592,0.03297926113009453,0.12784402072429657,0.03511584550142288,False,False,0.07349824905395508,0.04940866875521245,0.9800999760627747
3,env000027,0,-180.0,0.0,0.0,0.03280751779675484,0.0060478574596345425,0.033594921231269836,0.006344446912407875,False,False,0.052055731415748596,0.26412875604041064,0.9800999760627747
3,env000027,0,-135.0,0.0,0.0,0.09514656662940979,0.01753966510295868,0.09697028249502182,0.01831297017633915,False,False,3.1960327476263046,16.21654582380075,0.8278850317001343
3,env000027,0,-90.0,0.0,0.0,0.043935541063547134,0.008099238388240337,0.04321267828345299,0.008160773664712906,False,False,0.13326966762542725,0.676205108841748,0.9900000095367432
3,env000027,0,-45.0,0.0,0.0,0.053848691284656525,0.009926664642989635,0.05561519414186478,0.010503006167709827,False,False,1.5723643153905869,7.978115365425515,0.8281612396240234
3,env000027,0,45.0,0.0,0.0,0.10077714174985886,0.01857762597501278,0.10466079413890839,0.019765334203839302,False,False,3.606570228934288,18.29959703251042,0.8281612992286682
3,env000027,0,90.0,0.0,0.0,0.04570893943309784,0.008426153101027012,0.047240208834409714,0.008921378292143345,False,False,0.286544993519783,1.4539181494449358,0.9900000095367432
3,env000027,0,135.0,0.0,0.0,0.05100664868950844,0.009402751922607422,0.05223919451236725,0.009865443222224712,False,False,0.05666840076446533,0.28753326086566977,0.8278850317001343
3,env000027,0,180.0,0.0,0.0,0.03280755504965782,0.006047864444553852,0.033594969660043716,0.006344456225633621,False,False,0.05205371975898743,0.26411854897226544,0.9800999760627747
4,env000029,0,-180.0,0.0,0.0,0.668215811252594,0.11860191822052002,0.6871272325515747,0.123250313103199,True,False,1.9678399562835693,1.0759703421504028,0.9800999760627747
4,env000029,0,-135.0,0.0,0.0,0.15986433625221252,0.02837439253926277,0.1660972386598587,0.02979293465614319,False,False,2.3969526290893555,1.3105994378274202,0.8278850317001343
4,env000029,0,-90.0,0.0,0.0,0.060076456516981125,0.010662997141480446,0.06215478852391243,0.011148732155561447,False,False,0.03003549575805664,0.016422729167714995,0.9900000095367432
4,env000029,0,-45.0,0.0,0.0,0.03544981777667999,0.00629200367256999,0.03554712235927582,0.0063761030323803425,False,False,0.3667774200439453,0.2005455905484507,0.8281612396240234
4,env000029,0,45.0,0.0,0.0,0.13062864542007446,0.023185336962342262,0.13658714294433594,0.024499695748090744,False,False,0.6313812732696533,0.3452249876612479,0.8281612992286682
4,env000029,0,90.0,0.0,0.0,0.6830748319625854,0.12123925238847733,0.7019505500793457,0.12590917944908142,False,False,2.0666754245758057,1.1300113388764943,0.9900000095367432
4,env000029,0,135.0,0.0,0.0,0.6428987979888916,0.11410839110612869,0.660207211971283,0.11842165887355804,True,False,2.112520694732666,1.1550784947999948,0.8278850317001343
4,env000029,0,180.0,0.0,0.0,0.6682161688804626,0.11860198527574539,0.6871276497840881,0.12325038760900497,True,False,1.9678394794464111,1.0759700814266386,0.9800999760627747
5,env000032,0,-180.0,0.0,0.0,0.17900440096855164,0.024808181449770927,0.18192139267921448,0.025796594098210335,True,False,0.025394558906555176,0.0445791007776466,0.9800999760627747
5,env000032,0,-135.0,0.0,0.0,0.17369599640369415,0.024072490632534027,0.17892447113990784,0.025371627882122993,False,False,0.11992055177688599,0.21051558259564104,0.8278850317001343
5,env000032,0,-90.0,0.0,0.0,0.12758496403694153,0.017681973055005074,0.12901875376701355,0.018294958397746086,False,False,0.22181954979896545,0.3893950708625117,0.9900000095367432
5,env000032,0,-45.0,0.0,0.0,0.25250446796417236,0.03499453887343407,0.2601982355117798,0.03689631074666977,True,False,0.20936435461044312,0.3675304894158511,0.8281612396240234
5,env000032,0,45.0,0.0,0.0,0.1987190842628479,0.027540436014533043,0.1991446316242218,0.02823886275291443,True,False,0.027458786964416504,0.04820276799541789,0.8281612992286682
5,env000032,0,90.0,0.0,0.0,0.5810440182685852,0.08052676916122437,0.5832322239875793,0.08270277827978134,True,True,0.2013864517211914,0.35352560993741977,0.9900000095367432
5,env000032,0,135.0,0.0,0.0,0.15647044777870178,0.021685205399990082,0.15855325758457184,0.02248297445476055,True,False,0.19808092713356018,0.34772289785814187,0.8278850317001343
5,env000032,0,180.0,0.0,0.0,0.17900457978248596,0.024808205664157867,0.1819215714931488,0.025796618312597275,True,False,0.025394201278686523,0.04457847297667332,0.9800999760627747
6,env000043,0,-180.0,0.0,0.0,0.7284334301948547,0.11871948093175888,0.7621421217918396,0.12793616950511932,False,False,1.8641586303710938,0.46525546943160373,0.9800999760627747
6,env000043,0,-135.0,0.0,0.0,0.4601359963417053,0.0749925896525383,0.47783157229423523,0.08021068572998047,False,False,2.415445327758789,0.6028452362066834,0.8278850317001343
6,env000043,0,-90.0,0.0,0.0,0.17580339312553406,0.028652291744947433,0.18291360139846802,0.030704597011208534,False,False,0.8633937835693359,0.2154852454798413,0.9900000095367432
6,env000043,0,-45.0,0.0,0.0,0.06186392158269882,0.010082530789077282,0.06085723638534546,0.01021573506295681,False,False,0.3836483955383301,0.09575071104723253,0.8281612396240234
6,env000043,0,45.0,0.0,0.0,0.06606856733560562,0.010767800733447075,0.06836430728435516,0.011475902050733566,False,False,0.32113027572631836,0.08014748034184535,0.8281612992286682
6,env000043,0,90.0,0.0,0.0,0.1408568173646927,0.0229567289352417,0.1458699256181717,0.024486299604177475,False,False,0.5175046920776367,0.12915847638873335,0.9900000095367432
6,env000043,0,135.0,0.0,0.0,0.8374083042144775,0.13648012280464172,0.8737528324127197,0.1466715931892395,False,False,3.177262783050537,0.7929791293252075,0.8278850317001343
6,env000043,0,180.0,0.0,0.0,0.7284327745437622,0.11871937662363052,0.7621414065361023,0.12793605029582977,False,False,1.8641643524169922,0.4652568975360082,0.9800999760627747
7,env000044,0,-180.0,0.0,0.0,0.727043092250824,0.12368809431791306,0.7462377548217773,0.1283261924982071,False,True,1.9437052309513092,0.807013409950118,0.9800999760627747
7,env000044,0,-135.0,0.0,0.0,0.6440957188606262,0.10957668721675873,0.6619002819061279,0.11382316797971725,False,False,1.2524268627166748,0.51999925559671,0.8278850317001343
7,env000044,0,-90.0,0.0,0.0,0.2594063878059387,0.04413147270679474,0.2664850056171417,0.045825887471437454,True,False,0.7623227834701538,0.31651132032495183,0.9900000095367432
7,env000044,0,-45.0,0.0,0.0,0.3022628724575043,0.051422424614429474,0.31454983353614807,0.05409131571650505,True,False,0.41837334632873535,0.17370581478949176,0.8281612396240234
7,env000044,0,45.0,0.0,0.0,0.7061841487884521,0.1201394721865654,0.7229812145233154,0.12432689964771271,False,False,1.8564875721931458,0.7708012214549302,0.8281612992286682
7,env000044,0,90.0,0.0,0.0,0.7452640533447266,0.126787930727005,0.7639203071594238,0.13136696815490723,False,False,1.521800935268402,0.6318415686081965,0.9900000095367432
7,env000044,0,135.0,0.0,0.0,0.692369818687439,0.11778931319713593,0.7061110734939575,0.12142583727836609,False,False,1.8233621716499329,0.7570477767336554,0.8278850317001343
7,env000044,0,180.0,0.0,0.0,0.7270432114601135,0.12368811666965485,0.7462378144264221,0.1283262073993683,False,True,1.9437103867530823,0.8070155506045258,0.9800999760627747
