sample_index,environment,path_num,method,lr,iterations,initial_total,final_total,total_improvement,total_improvement_pct,initial_cp_error_m,initial_obstacle,final_obstacle,initial_curvature,final_curvature,initial_curvature_max,final_curvature_max,initial_out_of_bound,final_out_of_bound,initial_endpoint,final_endpoint,initial_weighted_obstacle,final_weighted_obstacle,initial_weighted_curvature,final_weighted_curvature,initial_weighted_out_of_bound,final_weighted_out_of_bound,initial_weighted_endpoint,final_weighted_endpoint,initial_feasible,final_feasible,initial_smoothness,final_smoothness,initial_jerk,final_jerk,initial_quality,final_quality,initial_cost,final_cost,initial_dangerous_ratio,final_dangerous_ratio,initial_unsafe_margin_ratio,final_unsafe_margin_ratio,initial_min_esdf,final_min_esdf,initial_path_length,final_path_length,initial_curvature_violation_ratio,final_curvature_violation_ratio,initial_control_oob_ratio,final_control_oob_ratio,initial_control_oob_max,final_control_oob_max,initial_cp_error_max,init_target_alpha,init_initialized_alpha,init_rho,init_alpha_clipped,final_x_norm,final_rho,final_slack,final_hard_boundary_margin,final_active_flat_index,final_active_control_point,final_active_coordinate,final_active_is_upper
0,env000028,18,P,0.003,300,14.120255470275879,4.853025913238525,9.267229557037354,65.63074992903292,0.0,9.246241569519043,4.761014938354492,14.658866882324219,0.24427087604999542,86.41881561279297,1.9350329637527466,0.0,0.0,1.2092915773391724,0.030943259596824646,9.246241569519043,4.761014938354492,3.6647167205810547,0.061067719012498856,0.0,0.0,1.2092915773391724,0.030943259596824646,14.12024974822998,4.853025913238525,0.058035608381032944,0.0021872040815651417,0.052785083651542664,0.0008859287481755018,0.052785083651542664,0.0008859287481755018,14.120255470275879,4.853025913238525,0.4399999976158142,0.27000001072883606,0.4699999988079071,0.33000001311302185,-1.6023300886154175,-1.555902123451233,12.17909049987793,13.663468360900879,0.06122449040412903,0.16326530277729034,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1,env000053,3,P,0.003,300,9.467486381530762,5.35016393661499,4.1173224449157715,43.48907702627249,6.743495646333031e-07,9.181839942932129,4.944551944732666,0.9411609768867493,1.1795276403427124,4.595371723175049,4.895850658416748,0.0,0.0,0.050355568528175354,0.11072952300310135,9.181839942932129,4.944551944732666,0.23529024422168732,0.2948819100856781,0.0,0.0,0.050355568528175354,0.11072952300310135,9.467486381530762,5.350163459777832,0.001515784882940352,0.0051274653524160385,0.0009940899908542633,0.002677906071767211,0.0009940899908542633,0.002677906071767211,9.467486381530762,5.35016393661499,0.3100000023841858,0.1599999964237213,0.33000001311302185,0.18000000715255737,-1.449889063835144,-1.407750129699707,18.278919219970703,21.2514705657959,0.0714285746216774,0.040816325694322586,0.0,0.0,0.0,0.0,6.743495646333031e-07,,,,,,,,,,,,
2,env000071,1,P,0.003,300,9.585968017578125,2.717799425125122,6.868168592453003,71.64814841713014,2.384185791015625e-07,8.704936981201172,2.7022769451141357,2.1023285388946533,0.05902507156133652,9.352002143859863,1.7203328609466553,0.0,0.0,0.355448842048645,0.0007660436676815152,8.704936981201172,2.7022769451141357,0.5255821347236633,0.01475626789033413,0.0,0.0,0.355448842048645,0.0007660436676815152,9.585968017578125,2.717799186706543,0.002335905795916915,0.0034454744309186935,0.0013696287060156465,0.0016532386653125286,0.0013696287060156465,0.0016532386653125286,9.585968017578125,2.717799425125122,0.46000000834465027,0.07000000029802322,0.47999998927116394,0.07999999821186066,-1.420353889465332,-1.377012014389038,16.846967697143555,20.087596893310547,0.13265305757522583,0.040816325694322586,0.0,0.0,0.0,0.0,2.384185791015625e-07,,,,,,,,,,,,
3,env000098,15,P,0.003,300,9.555397987365723,2.743570566177368,6.8118274211883545,71.28774154875647,2.384185791015625e-07,8.304899215698242,2.5910446643829346,3.0685720443725586,0.5993365049362183,18.43829917907715,2.2814536094665527,0.0,0.0,0.48335573077201843,0.002691492671146989,8.304899215698242,2.5910446643829346,0.7671430110931396,0.14983412623405457,0.0,0.0,0.48335573077201843,0.002691492671146989,9.555397987365723,2.743570327758789,0.003083831164985895,0.0058317603543400764,0.0013566215056926012,0.002803786424919963,0.0013566215056926012,0.002803786424919963,9.555397987365723,2.743570566177368,0.4300000071525574,0.07999999821186066,0.46000000834465027,0.15000000596046448,-1.275104284286499,-1.1234843730926514,15.69437313079834,19.541988372802734,0.09183673560619354,0.15306122601032257,0.0,0.0,0.0,0.0,2.384185791015625e-07,,,,,,,,,,,,
4,env000079,19,P,0.003,300,8.78853988647461,6.882892608642578,1.9056472778320312,21.683320579392092,7.539457556049456e-07,8.09712028503418,6.836984157562256,1.5660032033920288,0.07078542560338974,6.3347344398498535,1.6007345914840698,0.0,0.0,0.2999192774295807,0.02821228839457035,8.09712028503418,6.836984157562256,0.3915008008480072,0.017696356400847435,0.0,0.0,0.2999192774295807,0.02821228839457035,8.78853988647461,6.882892608642578,0.0022381783928722143,0.0020832207519561052,0.001185613451525569,0.0005568352644331753,0.001185613451525569,0.0005568352644331753,8.78853988647461,6.882892608642578,0.1899999976158142,0.18000000715255737,0.20000000298023224,0.18000000715255737,-1.3750029802322388,-1.3445152044296265,17.062971115112305,18.469249725341797,0.13265305757522583,0.08163265138864517,0.0,0.0,0.0,0.0,7.539457556049456e-07,,,,,,,,,,,,
5,env000064,16,P,0.003,300,8.92863941192627,3.3938241004943848,5.534815311431885,61.98945949187795,5.331201577973843e-07,7.7443342208862305,3.042041063308716,3.550551652908325,1.403333306312561,14.371979713439941,7.089470863342285,0.0,0.0,0.296662837266922,0.0009483338217251003,7.7443342208862305,3.042041063308716,0.8876379132270813,0.35083332657814026,0.0,0.0,0.296662837266922,0.0009483338217251003,8.928635597229004,3.3938229084014893,0.021138811483979225,0.012066483497619629,0.039418093860149384,0.012633697129786015,0.039418093860149384,0.012633697129786015,8.92863941192627,3.3938241004943848,0.3499999940395355,0.07999999821186066,0.36000001430511475,0.10999999940395355,-1.517952561378479,-1.2619963884353638,20.390674591064453,21.62843894958496,0.09183673560619354,0.1428571492433548,0.0,0.0,0.0,0.0,5.331201577973843e-07,,,,,,,,,,,,
6,env000073,2,P,0.003,300,8.008231163024902,4.347803115844727,3.660428047180176,45.70832150901028,5.960464477539062e-07,7.717954635620117,4.33686637878418,0.45072659850120544,0.014666533097624779,2.4534785747528076,1.5026657581329346,0.0,0.0,0.17759491503238678,0.007270356640219688,7.717954635620117,4.33686637878418,0.11268164962530136,0.0036666332744061947,0.0,0.0,0.17759491503238678,0.007270356640219688,8.008231163024902,4.347803115844727,0.0009809486800804734,0.002369664376601577,0.00032115637441165745,0.0011396119371056557,0.00032115637441165745,0.0011396119371056557,8.008231163024902,4.347803115844727,0.44999998807907104,0.2800000011920929,0.46000000834465027,0.3700000047683716,-1.1630653142929077,-1.1686903238296509,13.463128089904785,15.014256477355957,0.08163265138864517,0.010204081423580647,0.0,0.0,0.0,0.0,5.960464477539062e-07,,,,,,,,,,,,
7,env000098,8,P,0.003,300,7.787880897521973,4.095227241516113,3.6926536560058594,47.41538429511455,0.0,7.642445087432861,3.722358465194702,0.48315685987472534,1.0537668466567993,3.610280752182007,3.029144048690796,0.0,0.0,0.024646813049912453,0.10942628979682922,7.642445087432861,3.722358465194702,0.12078921496868134,0.26344171166419983,0.0,0.0,0.024646813049912453,0.10942628979682922,7.787880897521973,4.095226764678955,0.00018326443387195468,0.005373924504965544,5.838513243361376e-05,0.002602754393592477,5.838513243361376e-05,0.002602754393592477,7.787880897521973,4.095227241516113,0.6499999761581421,0.47999998927116394,0.6800000071525574,0.5400000214576721,-1.0417883396148682,-0.7162425518035889,10.432659149169922,12.560253143310547,0.08163265138864517,0.2142857164144516,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8,env000075,2,P,0.003,300,7.496397018432617,5.14847469329834,2.3479223251342773,31.32067737822659,5.331201577973843e-07,7.366703510284424,4.905671119689941,0.4088095724582672,0.34543749690055847,3.9958178997039795,2.7790939807891846,0.0,0.0,0.02749105542898178,0.15644419193267822,7.366703510284424,4.905671119689941,0.1022023931145668,0.08635937422513962,0.0,0.0,0.02749105542898178,0.15644419193267822,7.496397018432617,5.14847469329834,0.00021959489095024765,0.0009181913919746876,0.00011937230010516942,0.0003370640042703599,0.00011937230010516942,0.0003370640042703599,7.496397018432617,5.14847469329834,0.23999999463558197,0.1899999976158142,0.23999999463558197,0.20000000298023224,-1.2015327215194702,-0.9103594422340393,13.131914138793945,13.224810600280762,0.020408162847161293,0.040816325694322586,0.0,0.0,0.0,0.0,5.331201577973843e-07,,,,,,,,,,,,
9,env000096,17,P,0.003,300,9.09707260131836,4.195555686950684,4.901516914367676,53.880156058745115,1.1920928955078125e-07,7.362326622009277,3.981219530105591,6.255550384521484,0.8515049815177917,20.397174835205078,2.8495888710021973,0.0,0.0,0.17085610330104828,0.0014602943556383252,7.362326622009277,3.981219530105591,1.563887596130371,0.21287624537944794,0.0,0.0,0.17085610330104828,0.0014602943556383252,9.097070693969727,4.195555686950684,0.010512541979551315,0.005457427818328142,0.016807854175567627,0.002075742930173874,0.016807854175567627,0.002075742930173874,9.09707260131836,4.195555686950684,0.5299999713897705,0.3400000035762787,0.5699999928474426,0.4000000059604645,-1.1404790878295898,-0.7699697613716125,12.051583290100098,15.169848442077637,0.1734693944454193,0.36734694242477417,0.0,0.0,0.0,0.0,1.1920928955078125e-07,,,,,,,,,,,,
