method,lr,max_initial_cp_error_m,mean_initial_cp_error_m,raw_alpha_clipped_count
P,0.003,1.430511474609375e-06,4.67527286218683e-07,0
P,0.01,1.430511474609375e-06,4.67527286218683e-07,0
P,0.03,1.430511474609375e-06,4.67527286218683e-07,0
R,0.003,1.599360416548734e-06,2.4894814032450086e-07,0
R,0.01,1.599360416548734e-06,2.4894814032450086e-07,0
R,0.03,1.599360416548734e-06,2.4894814032450086e-07,0
raw,0.003,1.430511474609375e-06,4.7067740638340183e-07,0
raw,0.01,1.430511474609375e-06,4.7067740638340183e-07,0
raw,0.03,1.430511474609375e-06,4.7067740638340183e-07,0
