split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,1.9572657346725464,0.3997756838798523,-1,-1,True,0.8928682804107666,-1,0.6834055781364441,1.2391818761825562,-1,0.46105194091796875
train,env000015,2,0,1,1.8970845937728882,0.48637115955352783,-1,-1,True,1.232537865638733,-1,0.47107139229774475,1.5888957977294922,-1,0.21846307814121246
train,env000015,2,0,2,2.1387975215911865,0.4671851396560669,-1,-1,True,1.1152777671813965,-1,0.6122949123382568,1.5001308917999268,-1,0.3820662200450897
train,env000015,2,0,3,2.0475850105285645,0.46856409311294556,-1,-1,True,1.2360467910766602,-1,0.5139502286911011,1.5937533378601074,-1,0.2874133288860321
train,env000040,1,1,0,6.54573917388916,1.9810456037521362,-1,-1,True,2.015960216522217,1,0.9923511743545532,5.1462721824646,0,0.3065851032733917
train,env000040,1,1,1,4.73961067199707,1.358424186706543,1,1,True,2.00758695602417,1,0.8080074191093445,4.018435955047607,1,0.21329042315483093
train,env000040,1,1,2,4.792385101318359,1.3309097290039062,1,1,True,2.0059311389923096,1,0.8049902319908142,3.906418800354004,1,0.2559504806995392
train,env000040,1,1,3,5.3407182693481445,1.9858736991882324,1,1,True,2.0155489444732666,1,0.9911544919013977,4.529289245605469,1,0.24186784029006958
train,env000064,4,2,0,10.773459434509277,5.9455671310424805,1,1,True,8.729368209838867,1,0.42339205741882324,9.78108024597168,1,0.20555122196674347
train,env000064,4,2,1,10.254511833190918,6.200584888458252,1,1,True,9.069840431213379,1,0.292228102684021,10.020014762878418,1,0.05784442275762558
train,env000064,4,2,2,10.412781715393066,5.907715797424316,1,1,True,9.481242179870605,1,0.20677600800991058,9.876026153564453,1,0.11914488673210144
train,env000064,4,2,3,9.957427024841309,6.357833385467529,1,1,True,9.350872993469238,1,0.16850624978542328,9.682838439941406,1,0.07628321647644043
heldout,env000017,2,3,0,4.070417404174805,0.5812411904335022,-1,-1,True,3.961134910583496,-1,0.03132042661309242,3.8601863384246826,-1,0.0602523498237133
heldout,env000017,2,3,1,3.6958346366882324,0.549871027469635,-1,-1,True,3.527989149093628,-1,0.05335264652967453,3.545952081680298,-1,0.04764281213283539
heldout,env000017,2,3,2,3.8539912700653076,0.7084817886352539,-1,-1,True,3.81557559967041,-1,0.012212861329317093,3.8413138389587402,-1,0.004030326846987009
heldout,env000017,2,3,3,3.9913370609283447,0.6394962668418884,-1,-1,True,3.7490274906158447,-1,0.07229149341583252,3.8245933055877686,-1,0.04974691942334175
heldout,env000077,4,4,0,1.474953055381775,0.17828230559825897,-1,-1,True,0.8769915699958801,-1,0.4611513614654541,1.395949125289917,-1,0.060928285121917725
heldout,env000077,4,4,1,1.426378846168518,0.16083604097366333,-1,-1,True,0.993752121925354,-1,0.34185072779655457,1.245151162147522,-1,0.143201544880867
heldout,env000077,4,4,2,1.5497924089431763,0.20736093819141388,-1,-1,True,1.0863202810287476,-1,0.345248281955719,1.3004335165023804,-1,0.18575167655944824
