split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,1.9572664499282837,0.40353119373321533,-1,-1,True,1.2375808954238892,-1,0.4631970226764679,1.652116298675537,-1,0.1963977813720703
train,env000015,2,0,1,1.897085189819336,0.4679563641548157,-1,-1,True,1.3010226488113403,-1,0.4170810282230377,1.4492062330245972,-1,0.3133929669857025
train,env000015,2,0,2,2.1387908458709717,0.4688913822174072,-1,-1,True,1.0043054819107056,-1,0.6793734431266785,1.3896459341049194,-1,0.44861677289009094
train,env000015,2,0,3,2.0475878715515137,0.4633539915084839,-1,-1,True,0.9246882796287537,-1,0.7087965607643127,1.3741264343261719,-1,0.4251022934913635
train,env000040,1,1,0,6.545735836029053,1.952836036682129,-1,-1,True,1.5704429149627686,1,1.0832575559616089,4.653728008270264,-1,0.41194188594818115
train,env000040,1,1,1,4.739604949951172,1.3495653867721558,1,1,True,1.7143194675445557,1,0.8924041986465454,3.6763079166412354,1,0.31365329027175903
train,env000040,1,1,2,4.792386054992676,1.3207491636276245,1,1,True,1.5906580686569214,1,0.9222531318664551,3.6233339309692383,1,0.3367438018321991
train,env000040,1,1,3,5.340714454650879,2.007769823074341,1,1,True,1.7164393663406372,1,1.0874093770980835,4.20402717590332,1,0.34104594588279724
train,env000064,4,2,0,10.773508071899414,6.447896480560303,1,1,True,7.53580379486084,1,0.7484962940216064,9.46277904510498,1,0.30301588773727417
train,env000064,4,2,1,10.2545166015625,6.125246047973633,1,1,True,7.3392229080200195,1,0.7060069441795349,9.304436683654785,1,0.23008419573307037
train,env000064,4,2,2,10.41285228729248,5.986974716186523,1,1,True,7.52649450302124,1,0.6521549224853516,9.093695640563965,1,0.29805538058280945
train,env000064,4,2,3,9.95743465423584,6.463592529296875,1,1,True,7.522305011749268,1,0.6969775557518005,9.329533576965332,1,0.17971649765968323
heldout,env000017,2,3,0,4.070418357849121,0.6265568137168884,-1,-1,True,4.010807991027832,-1,0.017309164628386497,3.839991331100464,-1,0.06690949201583862
heldout,env000017,2,3,1,3.695833921432495,0.6014865040779114,-1,-1,True,3.609297752380371,-1,0.027965886518359184,3.4819114208221436,-1,0.06913331896066666
heldout,env000017,2,3,2,3.853989601135254,0.7365002036094666,-1,-1,True,3.8910045623779297,-1,-0.011873324401676655,3.6890594959259033,-1,0.05290478467941284
heldout,env000017,2,3,3,3.9913344383239746,0.6736935377120972,-1,-1,True,3.762301445007324,-1,0.06903489679098129,3.672988176345825,-1,0.09595561772584915
