path_id,center,sigma,center_cost,success_rate,perturbed_cost_mean,cost_multiplier_mean
40,0,0.05,0.0037681511603295803,1.0,0.004072858951985836,1.0808640718460083
40,1,0.05,0.0033385029528290033,1.0,0.0037665802519768476,1.1282243728637695
40,2,0.05,0.003668457269668579,1.0,0.0037716219667345285,1.028122067451477
40,3,0.05,0.0037098084576427937,0.875,0.004826808348298073,1.3010936975479126
40,4,0.05,0.003977969288825989,1.0,0.004169487860053778,1.0481446981430054
40,5,0.05,0.003707604017108679,1.0,0.003757973201572895,1.0135853290557861
40,6,0.05,0.006181265693157911,0.40625,0.006375124212354422,1.0313622951507568
40,7,0.05,0.004050660878419876,1.0,0.004158652387559414,1.0266602039337158
40,8,0.05,0.003773069940507412,1.0,0.003918970003724098,1.0386687517166138
40,9,0.05,0.0035341561306267977,0.96875,0.003859505522996187,1.0920586585998535
40,10,0.05,0.003683187998831272,1.0,0.003782584797590971,1.0269867181777954
40,11,0.05,0.0034365388564765453,1.0,0.0034728595055639744,1.0105690956115723
40,12,0.05,0.00366940232925117,1.0,0.00369866075925529,1.007973551750183
40,13,0.05,0.003556443378329277,0.96875,0.00403169309720397,1.133630633354187
40,14,0.05,0.003958320710808039,1.0,0.0039882175624370575,1.0075528621673584
40,15,0.05,0.003754508215934038,1.0,0.003977540414780378,1.059403896331787
40,16,0.05,0.0035985035356134176,0.875,0.004529994446784258,1.2588552236557007
40,17,0.05,0.004610382951796055,1.0,0.004640746861696243,1.006585955619812
40,18,0.05,0.0034216376952826977,0.9375,0.004012843128293753,1.1727843284606934
40,19,0.05,0.0035944196861237288,0.9375,0.004254368133842945,1.1836036443710327
40,20,0.05,0.0037158287595957518,1.0,0.0037814502138644457,1.0176600217819214
40,21,0.05,0.0038332983385771513,0.96875,0.004121886100620031,1.0752843618392944
40,22,0.05,0.0034428026992827654,0.96875,0.004044057335704565,1.1746411323547363
40,23,0.05,0.0032150987535715103,1.0,0.0038129552267491817,1.1859527826309204
40,24,0.05,0.004015179350972176,1.0,0.004035523161292076,1.0050667524337769
40,25,0.05,0.003691451856866479,0.9375,0.004132914822548628,1.1195906400680542
40,26,0.05,0.0033909243065863848,1.0,0.0035426029935479164,1.04473078250885
40,27,0.05,0.003458312712609768,1.0,0.0035579383838921785,1.028807520866394
40,28,0.05,0.0044997395016252995,0.96875,0.004790896084159613,1.0647051334381104
40,29,0.05,0.0026627567131072283,1.0,0.002689320594072342,1.0099760293960571
40,30,0.05,0.0037236795760691166,1.0,0.0037652147002518177,1.0111544132232666
40,31,0.05,0.0034522030036896467,1.0,0.003751179436221719,1.0866045951843262
40,0,0.1,0.0037681511603295803,0.875,0.004916558042168617,1.3047666549682617
40,1,0.1,0.0033385029528290033,0.96875,0.004481437616050243,1.3423494100570679
40,2,0.1,0.003668457269668579,0.96875,0.004145866259932518,1.130138874053955
40,3,0.1,0.0037098084576427937,0.78125,0.005029568914324045,1.3557490110397339
40,4,0.1,0.003977969288825989,0.90625,0.004765138030052185,1.1978819370269775
40,5,0.1,0.003707604017108679,0.96875,0.0040854597464203835,1.1019136905670166
40,6,0.1,0.006181265693157911,0.125,0.006804563570767641,1.1008365154266357
40,7,0.1,0.004050660878419876,0.9375,0.004591774195432663,1.1335864067077637
40,8,0.1,0.003773069940507412,0.96875,0.0043008336797356606,1.1398764848709106
40,9,0.1,0.0035341561306267977,0.90625,0.004415844567120075,1.2494763135910034
40,10,0.1,0.003683187998831272,1.0,0.004021859727799892,1.09195077419281
40,11,0.1,0.0034365388564765453,1.0,0.0035966658033430576,1.0465953350067139
40,12,0.1,0.00366940232925117,1.0,0.003796996083110571,1.0347723960876465
40,13,0.1,0.003556443378329277,0.8125,0.0046829902566969395,1.3167623281478882
40,14,0.1,0.003958320710808039,1.0,0.004089767578989267,1.033207654953003
40,15,0.1,0.003754508215934038,0.9375,0.004480835981667042,1.1934549808502197
40,16,0.1,0.0035985035356134176,0.875,0.004762175492942333,1.3233765363693237
40,17,0.1,0.004610382951796055,0.96875,0.005239290650933981,1.136411190032959
40,18,0.1,0.0034216376952826977,0.9375,0.0044881561771035194,1.3116984367370605
40,19,0.1,0.0035944196861237288,0.8125,0.004913599230349064,1.3670077323913574
40,20,0.1,0.0037158287595957518,0.96875,0.004175425507128239,1.1236861944198608
40,21,0.1,0.0038332983385771513,0.875,0.004652095027267933,1.213600993156433
40,22,0.1,0.0034428026992827654,0.625,0.006760728545486927,1.9637280702590942
40,23,0.1,0.0032150987535715103,1.0,0.00403559161350131,1.255199909210205
40,24,0.1,0.004015179350972176,1.0,0.0041026100516319275,1.0217751264572144
40,25,0.1,0.003691451856866479,0.90625,0.004503549542278051,1.219994068145752
40,26,0.1,0.0033909243065863848,1.0,0.004085034132003784,1.2046964168548584
40,27,0.1,0.003458312712609768,1.0,0.003968946170061827,1.1476538181304932
40,28,0.1,0.0044997395016252995,0.90625,0.005096219014376402,1.1325585842132568
40,29,0.1,0.0026627567131072283,1.0,0.002740031573921442,1.0290205478668213
40,30,0.1,0.0037236795760691166,1.0,0.0038098765071481466,1.0231482982635498
40,31,0.1,0.0034522030036896467,1.0,0.004073246847838163,1.1798980236053467
40,0,0.2,0.0037681511603295803,0.53125,0.006148322951048613,1.631655216217041
40,1,0.2,0.0033385029528290033,0.9375,0.004702061414718628,1.4084341526031494
40,2,0.2,0.003668457269668579,0.78125,0.005023360718041658,1.369338870048523
40,3,0.2,0.0037098084576427937,0.75,0.0052987816743552685,1.4283168315887451
40,4,0.2,0.003977969288825989,0.6875,0.005442559719085693,1.3681753873825073
40,5,0.2,0.003707604017108679,0.84375,0.005533302668482065,1.4924200773239136
40,6,0.2,0.006181265693157911,0.0,0.007776122074574232,1.2580146789550781
40,7,0.2,0.004050660878419876,0.71875,0.006483319215476513,1.6005584001541138
