path_id,sigma,num_centers,samples_per_center,num_trajectories,success_count,success_rate,center_success_rate_mean,center_success_rate_median,centers_with_at_least_80pct_success,centers_with_at_least_80pct_success_rate,cost_mean,cost_median,cost_multiplier_mean,cost_multiplier_median,noise_energy_per_dim_mean
40,0.05,32,32,1024,986,0.962890625,0.962890625,1.0,31,0.96875,0.004034156911075115,0.0037919075693935156,1.0775282382965088,1.012171745300293,1.9375555515289307
40,0.1,32,32,1024,929,0.9072265625,0.9072265625,0.96875,29,0.90625,0.004487898200750351,0.004031503107398748,1.2008366584777832,1.0460602045059204,1.9447253942489624
40,0.2,32,32,1024,802,0.783203125,0.783203125,0.8125,18,0.5625,0.005717557854950428,0.004477417562156916,1.533202886581421,1.1727244853973389,1.9740208387374878
40,0.5,32,32,1024,579,0.5654296875,0.5654296875,0.53125,3,0.09375,0.00808789674192667,0.005792197771370411,2.1768994331359863,1.536059856414795,2.181554079055786
43,0.05,32,32,1024,992,0.96875,0.96875,1.0,31,0.96875,0.0053911712020635605,0.005332660395652056,1.007465124130249,1.0045466423034668,2.932556629180908
43,0.1,32,32,1024,988,0.96484375,0.96484375,1.0,31,0.96875,0.006140799727290869,0.0054095108062028885,1.1745517253875732,1.0162951946258545,2.9384925365448
43,0.2,32,32,1024,951,0.9287109375,0.9287109375,1.0,30,0.9375,0.006623417604714632,0.005771194584667683,1.264951467514038,1.059686541557312,2.9653208255767822
43,0.5,32,32,1024,616,0.6015625,0.6015625,0.625,6,0.1875,0.007891937159001827,0.0072095030918717384,1.4909114837646484,1.3233011960983276,3.165452241897583
69,0.05,32,32,1024,979,0.9560546875,0.9560546875,1.0,31,0.96875,0.0033464229200035334,0.002547700423747301,1.3033170700073242,1.0057697296142578,1.8461965322494507
69,0.1,32,32,1024,955,0.9326171875,0.9326171875,1.0,29,0.90625,0.0043580117635428905,0.002615167060866952,1.696791172027588,1.0210833549499512,1.8539187908172607
69,0.2,32,32,1024,869,0.8486328125,0.8486328125,0.9375,23,0.71875,0.006860352121293545,0.002863592468202114,2.632046699523926,1.0821956396102905,1.8843194246292114
69,0.5,32,32,1024,300,0.29296875,0.29296875,0.3125,0,0.0,0.009393339045345783,0.004135815892368555,3.72417950630188,1.5766446590423584,2.095167636871338
16,0.05,32,32,1024,1011,0.9873046875,0.9873046875,1.0,31,0.96875,0.007131427992135286,0.006952183786779642,1.0816349983215332,1.0208159685134888,2.1961588859558105
16,0.1,32,32,1024,958,0.935546875,0.935546875,1.0,28,0.875,0.008331983350217342,0.007320403587073088,1.280672550201416,1.0780465602874756,2.20407772064209
16,0.2,32,32,1024,852,0.83203125,0.83203125,0.9375,22,0.6875,0.010777343064546585,0.008539009839296341,1.6823707818984985,1.2782442569732666,2.2348721027374268
16,0.5,32,32,1024,447,0.4365234375,0.4365234375,0.4375,3,0.09375,0.016908790916204453,0.01383855752646923,2.669956922531128,2.062134027481079,2.446901321411133
35,0.05,32,32,1024,1019,0.9951171875,0.9951171875,1.0,32,1.0,0.003236464224755764,0.0030864374712109566,1.0417413711547852,1.003134846687317,2.628170967102051
35,0.1,32,32,1024,1001,0.9775390625,0.9775390625,1.0,30,0.9375,0.004633856937289238,0.003120305249467492,1.5011332035064697,1.0117558240890503,2.6366028785705566
35,0.2,32,32,1024,957,0.9345703125,0.9345703125,1.0,28,0.875,0.008406179025769234,0.003306209109723568,2.7447147369384766,1.0442079305648804,2.6684231758117676
35,0.5,32,32,1024,827,0.8076171875,0.8076171875,0.84375,23,0.71875,0.011755178682506084,0.004163364879786968,3.8620553016662598,1.2735724449157715,2.8835299015045166
76,0.05,32,32,1024,1022,0.998046875,0.998046875,1.0,32,1.0,0.0030679909978061914,0.0027675058227032423,1.0358754396438599,1.0033622980117798,4.975178241729736
76,0.1,32,32,1024,1009,0.9853515625,0.9853515625,1.0,32,1.0,0.004878506064414978,0.002813250757753849,1.7559925317764282,1.0120532512664795,4.982172966003418
76,0.2,32,32,1024,972,0.94921875,0.94921875,1.0,28,0.875,0.009861833415925503,0.0029342470224946737,3.660802125930786,1.0449128150939941,5.0111188888549805
76,0.5,32,32,1024,853,0.8330078125,0.8330078125,0.875,21,0.65625,0.011665625497698784,0.0038957565557211637,4.2239179611206055,1.3260018825531006,5.217602729797363
5,0.05,32,32,1024,752,0.734375,0.734375,0.90625,18,0.5625,0.005893067456781864,0.005887907464057207,1.0903068780899048,1.0068844556808472,3.1530141830444336
5,0.1,32,32,1024,665,0.6494140625,0.6494140625,0.78125,15,0.46875,0.006711131893098354,0.0060525937005877495,1.253098487854004,1.0240604877471924,3.1607072353363037
5,0.2,32,32,1024,529,0.5166015625,0.5166015625,0.5625,9,0.28125,0.00981102418154478,0.0063819983042776585,1.8389970064163208,1.076156497001648,3.191049337387085
5,0.5,32,32,1024,274,0.267578125,0.267578125,0.125,3,0.09375,0.016088224947452545,0.007237893529236317,3.0184521675109863,1.28096604347229,3.4017221927642822
91,0.05,32,32,1024,1015,0.9912109375,0.9912109375,1.0,32,1.0,0.0032555852085351944,0.00319000706076622,1.0429099798202515,1.0049382448196411,3.12427020072937
91,0.1,32,32,1024,959,0.9365234375,0.9365234375,1.0,29,0.90625,0.005213549826294184,0.0032890564762055874,1.6800483465194702,1.019681453704834,3.1305670738220215
91,0.2,32,32,1024,820,0.80078125,0.80078125,0.8125,18,0.5625,0.010615511797368526,0.003496025688946247,3.5118749141693115,1.083565354347229,3.1581168174743652
91,0.5,32,32,1024,414,0.404296875,0.404296875,0.34375,1,0.03125,0.02039427123963833,0.005704404786229134,6.767636775970459,1.841808795928955,3.3604118824005127
