split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery
train,env000015,2,0,0,1.9572657346725464,0.3997756838798523,-1,-1,True,0.9524335265159607,-1,0.6451612710952759
train,env000015,2,0,1,1.8970845937728882,0.48637115955352783,-1,-1,True,1.1581544876098633,-1,0.5237988829612732
train,env000015,2,0,2,2.1387975215911865,0.4671851396560669,-1,-1,True,1.1213535070419312,-1,0.6086602807044983
train,env000015,2,0,3,2.0475850105285645,0.46856409311294556,-1,-1,True,0.8837051391601562,-1,0.7370895743370056
train,env000040,1,1,0,6.54573917388916,1.9810456037521362,-1,-1,True,1.4653964042663574,1,1.1129647493362427
train,env000040,1,1,1,4.73961067199707,1.358424186706543,1,1,True,1.395574688911438,1,0.989012598991394
train,env000040,1,1,2,4.792385101318359,1.3309097290039062,1,1,True,1.4053921699523926,1,0.9784824848175049
train,env000040,1,1,3,5.3407182693481445,1.9858736991882324,1,1,True,1.4375990629196167,1,1.163427710533142
train,env000064,4,2,0,10.773459434509277,5.945574760437012,1,1,True,8.841758728027344,1,0.4001132547855377
train,env000064,4,2,1,10.254511833190918,6.2005839347839355,1,1,True,8.458740234375,1,0.44297078251838684
train,env000064,4,2,2,10.412781715393066,5.907715797424316,1,1,True,9.474055290222168,1,0.20837129652500153
train,env000064,4,2,3,9.957427024841309,6.357833385467529,1,1,True,8.591129302978516,1,0.37956997752189636
train,env000065,0,3,0,6.498783111572266,1.3635270595550537,0,1,True,0.0516342967748642,1,1.2554678916931152
train,env000065,0,3,1,6.774649143218994,1.5466324090957642,0,1,True,0.11287524551153183,1,1.2742449045181274
train,env000065,0,3,2,5.026790618896484,1.2019925117492676,1,1,True,0.06386720389127731,1,1.2975648641586304
train,env000065,0,3,3,5.396038055419922,1.1223738193511963,1,1,True,0.047313809394836426,1,1.2515546083450317
train,env000082,2,4,0,8.56099796295166,3.5534720420837402,-1,-1,True,3.7512826919555664,-1,0.9604973196983337
train,env000082,2,4,1,6.24179220199585,3.443647623062134,-1,-1,True,3.688835620880127,-1,0.9123747944831848
train,env000082,2,4,2,9.466033935546875,4.6197710037231445,1,0,True,3.853347063064575,-1,1.1581474542617798
train,env000082,2,4,3,8.209795951843262,3.5547540187835693,-1,-1,True,3.680940866470337,-1,0.9728925228118896
