variant,environment,path_num,condition_id,source_id,teacher_condition_safe,teacher_candidate_safe,student_candidate_safe,recovery,relative_teacher_error,max_control_point_deviation_m,mode_keep_vs_stage1,mode_match_teacher,teacher_cost,student_cost,teacher_min_esdf,student_min_esdf,newly_unsafe_point_count,newly_unsafe_point_indices,student_max_violation_m
B_cost_only,env000017,2,60,0,False,False,False,0.29210299253463745,0.9841695427894592,1.2784967422485352,True,True,0.5812413096427917,3.0512125492095947,-0.41082724928855896,-0.513207733631134,15,2 3 4 5 6 7 26 27 28 29 30 92 93 94 95,0.513207733631134
B_cost_only,env000017,2,60,1,False,False,False,0.34556618332862854,0.9819456934928894,1.2500947713851929,True,True,0.5498708486557007,2.6086935997009277,-0.40831851959228516,-0.518007755279541,11,2 3 4 26 27 28 29 30 92 93 94,0.518007755279541
B_cost_only,env000017,2,60,2,False,False,False,0.3015502691268921,0.9723259806632996,0.9754752516746521,True,True,0.7084816098213196,2.9054617881774902,-0.3922818601131439,-0.5373607873916626,12,2 3 4 5 25 26 29 30 92 93 94 95,0.5373607873916626
B_cost_only,env000017,2,60,3,False,False,False,0.3001900315284729,0.9955901503562927,1.1307061910629272,True,True,0.6394976377487183,2.98514461517334,-0.33868712186813354,-0.49724966287612915,14,2 3 4 5 6 7 25 26 27 30 92 93 94 95,0.49724966287612915
B_cost_only,env000077,4,61,0,True,True,False,0.22701092064380646,1.415246844291687,1.5527433156967163,True,True,0.17828918993473053,1.1806025505065918,0.02139652520418167,-0.22507159411907196,3,18 19 20,0.22507159411907196
B_cost_only,env000077,4,61,1,True,True,False,0.2975718080997467,1.4080767631530762,1.3923401832580566,True,True,0.16083785891532898,1.0497937202453613,0.05335596576333046,-0.1944352239370346,2,17 18,0.1944352239370346
B_cost_only,env000077,4,61,2,True,False,False,0.37675392627716064,1.4897650480270386,1.3674975633621216,True,True,0.20736172795295715,1.0440306663513184,-0.013855921104550362,-0.15858742594718933,3,17 18 19,0.15858742594718933
B_cost_only,env000077,4,61,3,True,False,False,-2.3790972232818604,1.3373781442642212,1.7625268697738647,True,True,0.25602665543556213,2.605309009552002,-0.2123841494321823,-0.6288093328475952,8,15 16 17 19 20 21 22 23,0.6288093328475952
B_cost_only,env000090,2,62,0,False,False,False,0.12746687233448029,1.4862141609191895,3.127617359161377,True,True,2.465777635574341,4.5102314949035645,-0.6967410445213318,-0.7187663316726685,25,15 16 17 18 22 23 30 31 32 33 34 39 40 41 42 43 44 45 46 47 48 49 50 51 52,0.7187663316726685
B_cost_only,env000090,2,62,1,False,False,False,0.24241329729557037,1.255444049835205,2.320542335510254,True,True,2.196930408477783,5.0217719078063965,-0.6287423968315125,-0.8373396396636963,16,16 17 18 22 23 29 30 31 32 37 38 39 40 41 42 43,0.8373396396636963
