path_id,center,sigma,center_cost,success_rate,perturbed_cost_mean,cost_multiplier_mean
40,0,0.05,0.0037681511603295803,1.0,0.004470375366508961,1.1863577365875244
40,1,0.05,0.0033385029528290033,1.0,0.0035235024988651276,1.0554139614105225
40,2,0.05,0.003668457269668579,1.0,0.0036907820031046867,1.0060856342315674
40,3,0.05,0.0037098084576427937,1.0,0.0037174660246819258,1.0020641088485718
40,4,0.05,0.003977969288825989,1.0,0.006173104979097843,1.5518231391906738
40,5,0.05,0.003707604017108679,1.0,0.0037370978388935328,1.0079549551010132
40,6,0.05,0.006181265693157911,0.0,0.006338955834507942,1.0255110263824463
40,7,0.05,0.004050660878419876,1.0,0.0045378063805401325,1.1202632188796997
40,8,0.05,0.003773069940507412,1.0,0.0037892295513302088,1.004282832145691
40,9,0.05,0.0035341561306267977,1.0,0.003545984858646989,1.0033469200134277
40,10,0.05,0.003683187998831272,1.0,0.0037314482033252716,1.0131028890609741
40,11,0.05,0.0034365388564765453,1.0,0.00345411105081439,1.0051133632659912
40,12,0.05,0.00366940232925117,1.0,0.003724243026226759,1.014945387840271
40,13,0.05,0.003556443378329277,1.0,0.003578910604119301,1.006317377090454
40,14,0.05,0.003958320710808039,1.0,0.003954765386879444,0.9991018176078796
40,15,0.05,0.003754508215934038,1.0,0.003889125306159258,1.0358548164367676
40,16,0.05,0.0035985035356134176,1.0,0.003608356462791562,1.002738118171692
40,17,0.05,0.004610382951796055,1.0,0.004693704191595316,1.018072485923767
40,18,0.05,0.0034216376952826977,1.0,0.00366513105109334,1.0711628198623657
40,19,0.05,0.0035944196861237288,1.0,0.005743850488215685,1.5979911088943481
40,20,0.05,0.0037158287595957518,1.0,0.0037244048435240984,1.0023080110549927
40,21,0.05,0.0038332983385771513,1.0,0.003873815992847085,1.0105699300765991
40,22,0.05,0.0034428026992827654,1.0,0.003620964242145419,1.0517489910125732
40,23,0.05,0.0032150987535715103,1.0,0.003327984595671296,1.0351111888885498
40,24,0.05,0.004015179350972176,1.0,0.004022239241749048,1.001758337020874
40,25,0.05,0.003691451856866479,1.0,0.0036967757623642683,1.0014421939849854
40,26,0.05,0.0033909243065863848,1.0,0.0034048708621412516,1.004112958908081
40,27,0.05,0.003458312712609768,1.0,0.0034966892562806606,1.0110969543457031
40,28,0.05,0.0044997395016252995,1.0,0.0054160915315151215,1.2036455869674683
40,29,0.05,0.0026627567131072283,1.0,0.002671229187399149,1.0031818151474
40,30,0.05,0.0037236795760691166,1.0,0.00375175173394382,1.0075387954711914
40,31,0.05,0.0034522030036896467,1.0,0.0034758939873427153,1.0068625211715698
