split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,C_random_coupling_safe_cost,C_random_coupling_mode,C_random_coupling_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,2.1828465461730957,0.42723149061203003,-1,-1,True,1.1518114805221558,-1,0.5872785449028015,1.6134229898452759,-1,0.3243442177772522,1.7183873653411865,-1,0.2645564079284668
train,env000015,2,0,1,4.513469696044922,0.3176632225513458,-1,-1,True,1.0488659143447876,-1,0.8257301449775696,1.260743260383606,-1,0.77523273229599,1.7849096059799194,-1,0.6503064632415771
train,env000015,2,0,2,1.7531722784042358,0.29839956760406494,-1,-1,True,0.8253499865531921,-1,0.6377781629562378,1.2932795286178589,-1,0.31612688302993774,2.2693371772766113,-1,-0.35480794310569763
train,env000015,2,0,3,2.413652181625366,0.31057992577552795,-1,-1,True,0.8975965976715088,-1,0.7208766341209412,1.2981899976730347,-1,0.5303965210914612,2.529461145401001,-1,-0.05506656691431999
train,env000015,7,1,0,4.983565807342529,1.0787323713302612,1,1,True,0.9503034353256226,1,1.032889723777771,2.0012974739074707,1,0.763737678527832,1.8994009494781494,1,0.7898326516151428
train,env000015,7,1,1,4.867823600769043,1.1015958786010742,1,1,True,0.9598433971405029,1,1.0376378297805786,1.6540958881378174,1,0.853301465511322,1.6612319946289062,1,0.8514067530632019
train,env000015,7,1,2,4.420969009399414,1.1333355903625488,1,1,True,0.9334889650344849,1,1.0607874393463135,1.9191631078720093,1,0.7609747052192688,1.8690292835235596,1,0.7762239575386047
train,env000015,7,1,3,4.2690629959106445,1.1347324848175049,1,1,True,0.9427964687347412,1,1.0612367391586304,1.8703895807266235,1,0.7652905583381653,1.8498005867004395,1,0.7718594074249268
train,env000015,8,2,0,3.269007682800293,0.6123528480529785,1,1,True,0.6220409274101257,1,0.996353268623352,1.3584306240081787,1,0.7191664576530457,1.3109017610549927,1,0.7370569705963135
train,env000015,8,2,1,3.1170687675476074,0.6221987009048462,1,1,True,0.6293675303459167,1,0.9971265196800232,1.3137407302856445,1,0.7228143811225891,1.277285099029541,1,0.7374266386032104
train,env000015,8,2,2,2.6776440143585205,0.6265023350715637,1,1,True,0.6270498633384705,1,0.999733030796051,1.2399485111236572,1,0.7009245157241821,1.3238105773925781,1,0.660038948059082
train,env000015,8,2,3,2.3160479068756104,0.6164484620094299,1,1,True,0.6410647630691528,1,0.985516369342804,1.401993751525879,1,0.5378056168556213,1.4452491998672485,1,0.5123552083969116
train,env000040,6,3,0,8.258456230163574,2.3038671016693115,1,1,True,0.5011662840843201,1,1.302741527557373,7.906766891479492,1,0.05906189978122711,7.777344703674316,1,0.08079676330089569
train,env000040,6,3,1,9.048842430114746,2.3256349563598633,1,1,True,0.5284331440925598,1,1.2673132419586182,8.070549964904785,1,0.1455097794532776,8.686555862426758,1,0.05388597026467323
train,env000040,6,3,2,8.028947830200195,2.130591630935669,1,1,True,0.34465736150741577,1,1.302785038948059,8.492814064025879,1,-0.078643299639225,8.457470893859863,1,-0.07265126705169678
train,env000040,6,3,3,8.941008567810059,2.6791508197784424,-1,-1,True,0.5743798613548279,1,1.3361256122589111,7.683697700500488,1,0.20078878104686737,7.676904678344727,0,0.20187361538410187
train,env000040,1,4,0,5.050752639770508,1.7387601137161255,1,1,True,1.2037341594696045,1,1.1615419387817383,5.081260681152344,0,-0.009211385622620583,4.345240592956543,1,0.21301738917827606
train,env000040,1,4,1,6.319779396057129,1.7104188203811646,-1,0,True,1.3085136413574219,1,1.087193250656128,3.8801169395446777,1,0.5292843580245972,4.399260997772217,1,0.41665613651275635
train,env000040,1,4,2,4.780625820159912,1.7336339950561523,1,1,True,1.24766206741333,1,1.1594923734664917,2.381969928741455,1,0.7872209548950195,3.7716450691223145,1,0.3311399519443512
train,env000040,1,4,3,4.441793918609619,0.9344193935394287,1,1,True,1.2034128904342651,1,0.9233062863349915,3.522770881652832,1,0.26202592253685,2.01731538772583,1,0.6912516951560974
train,env000040,7,5,0,7.827924728393555,1.7630739212036133,-1,-1,True,1.6669929027557373,1,1.0158421993255615,2.2204742431640625,1,0.92458176612854,3.6429519653320312,0,0.690037190914154
train,env000040,7,5,1,7.188179969787598,1.1120530366897583,1,1,True,2.0446994304656982,1,0.8465063571929932,2.3579320907592773,1,0.7949550747871399,4.6797075271606445,1,0.41284069418907166
train,env000040,7,5,2,7.704644203186035,3.500577449798584,-1,0,True,1.7716494798660278,1,1.4112513065338135,1.7695302963256836,1,1.4117554426193237,4.390316009521484,1,0.7883623838424683
train,env000040,7,5,3,5.0452117919921875,0.9366844892501831,0,1,True,1.6932125091552734,1,0.8158639669418335,2.0222675800323486,1,0.7357732057571411,1.7071058750152588,1,0.8124823570251465
train,env000064,4,6,0,9.696022987365723,5.020294666290283,1,1,True,6.604895114898682,1,0.6611008048057556,10.302858352661133,1,-0.12978413701057434,8.996542930603027,1,0.14959809184074402
train,env000064,4,6,1,11.32928466796875,5.984372138977051,1,1,True,6.9390692710876465,1,0.8213821053504944,10.714301109313965,1,0.11505961418151855,8.723424911499023,1,0.48754021525382996
train,env000064,4,6,2,11.299859046936035,5.162214279174805,1,1,True,6.820792198181152,1,0.7297696471214294,11.217598915100098,1,0.013402557000517845,7.719109535217285,1,0.5834077596664429
train,env000064,4,6,3,9.610685348510742,5.043476581573486,1,1,True,6.8139190673828125,1,0.6123578548431396,10.592281341552734,0,-0.21492251753807068,9.404169082641602,1,0.04521717131137848
train,env000064,5,7,0,5.677886486053467,2.1686854362487793,-1,-1,True,1.1545627117156982,-1,1.2889896631240845,2.3449721336364746,-1,0.9497644305229187,4.58350133895874,-1,0.31186163425445557
train,env000064,5,7,1,5.203913688659668,2.105349063873291,-1,-1,True,1.15485680103302,-1,1.3067524433135986,3.012258291244507,-1,0.7073131203651428,2.2490601539611816,-1,0.9536201357841492
train,env000064,5,7,2,5.928233623504639,2.556199550628662,-1,-1,True,1.181702971458435,-1,1.407616376876831,2.357680559158325,-1,1.0588722229003906,2.8003597259521484,-1,0.9275926351547241
train,env000064,5,7,3,5.9879984855651855,2.0966429710388184,-1,-1,True,1.1574252843856812,-1,1.2413599491119385,2.602616786956787,-1,0.8699749112129211,2.6571097373962402,-1,0.8559713363647461
train,env000064,8,8,0,5.43072509765625,1.79610276222229,-1,-1,True,1.7233712673187256,1,1.0200107097625732,4.343498229980469,-1,0.2991306185722351,2.4170501232147217,-1,0.8291576504707336
train,env000064,8,8,1,5.4550652503967285,2.1314778327941895,-1,-1,True,1.5261694192886353,1,1.1821250915527344,4.2858662605285645,-1,0.3517882525920868,2.4570188522338867,-1,0.9020513296127319
train,env000064,8,8,2,5.402295112609863,1.7985104322433472,1,1,True,1.4699429273605347,1,1.0911729335784912,5.567408084869385,-1,-0.04581654816865921,5.328600883483887,-1,0.020449122413992882
train,env000064,8,8,3,6.670476913452148,1.931810736656189,-1,-1,True,1.5506380796432495,1,1.0804388523101807,4.961108684539795,-1,0.3607277274131775,5.810145854949951,-1,0.18155553936958313
heldout,env000068,7,9,0,4.920500755310059,1.219748854637146,-1,-1,True,5.169759273529053,-1,-0.06735347956418991,5.140550136566162,-1,-0.059460725635290146,5.038730621337891,-1,-0.03194752708077431
heldout,env000068,7,9,1,5.620567798614502,1.246475338935852,1,0,True,6.0524001121521,-1,-0.09872500598430634,5.552379131317139,-1,0.015589214861392975,5.522696495056152,-1,0.02237522415816784
heldout,env000068,7,9,2,5.768579006195068,1.309728980064392,-1,-1,True,6.138631343841553,-1,-0.08299277722835541,5.25450325012207,-1,0.11529335379600525,5.13999080657959,-1,0.14097541570663452
heldout,env000068,7,9,3,5.158771514892578,1.2897218465805054,-1,-1,True,5.478318214416504,-1,-0.0825904905796051,4.889456272125244,-1,0.06960760056972504,4.888513088226318,-1,0.06985137611627579
heldout,env000068,1,10,0,6.850508689880371,1.236737847328186,1,1,True,5.7637939453125,1,0.19358016550540924,6.489287376403809,1,0.0643455758690834,6.806545257568359,1,0.00783135462552309
heldout,env000068,1,10,1,5.535959243774414,1.2304449081420898,1,1,True,5.68754243850708,1,-0.03520675748586655,4.925427436828613,1,0.14180229604244232,6.338335037231445,1,-0.18636003136634827
heldout,env000068,1,10,2,7.593505382537842,1.329433560371399,1,1,True,6.2162766456604,1,0.21986158192157745,4.89424467086792,1,0.43091151118278503,7.239577770233154,1,0.05650120601058006
heldout,env000068,1,10,3,8.273934364318848,1.2421016693115234,-1,-1,True,6.0992302894592285,0,0.3092656135559082,8.261234283447266,0,0.0018060840666294098,8.979005813598633,-1,-0.10026852041482925
heldout,env000068,6,11,0,3.2882578372955322,1.0249714851379395,-1,-1,True,2.5957798957824707,-1,0.3059612512588501,3.5365633964538574,-1,-0.10971017926931381,3.7960331439971924,-1,-0.2243531048297882
heldout,env000068,6,11,1,3.5262393951416016,1.0079504251480103,-1,-1,True,2.6451401710510254,-1,0.3498800992965698,5.5655131340026855,-1,-0.8097854256629944,4.751837253570557,-1,-0.4866787791252136
heldout,env000068,6,11,2,3.465341091156006,1.0377590656280518,-1,-1,True,2.6460514068603516,-1,0.33749207854270935,3.843528985977173,-1,-0.1557879000902176,3.5883917808532715,-1,-0.05068858340382576
heldout,env000068,6,11,3,3.7959773540496826,0.9963490962982178,-1,-1,True,3.6216042041778564,-1,0.06228439509868622,5.675357818603516,1,-0.6712964177131653,5.867768287658691,1,-0.7400235533714294
heldout,env000085,2,12,0,14.687999725341797,1.3356860876083374,1,1,True,13.109896659851074,1,0.1181894838809967,9.143597602844238,1,0.41523903608322144,9.646345138549805,1,0.37758657336235046
heldout,env000085,2,12,1,9.857107162475586,1.2433528900146484,1,1,True,12.437775611877441,1,-0.2995985746383667,9.14744758605957,1,0.0823867917060852,9.695452690124512,1,0.018767017871141434
heldout,env000085,2,12,2,10.194182395935059,5.921238422393799,1,0,True,12.363443374633789,-1,-0.5076736211776733,9.032697677612305,1,0.27182304859161377,9.760233879089355,1,0.10155726969242096
heldout,env000085,2,12,3,9.770577430725098,1.3162950277328491,1,1,True,13.095673561096191,0,-0.39330315589904785,8.903496742248535,1,0.1025611162185669,9.663015365600586,1,0.012722790241241455
heldout,env000085,9,13,0,6.18950080871582,1.9043530225753784,1,1,True,4.269294261932373,1,0.44810745120048523,5.4741621017456055,1,0.16693443059921265,5.334415912628174,1,0.1995461881160736
heldout,env000085,9,13,1,6.459994792938232,0.9500663876533508,-1,-1,True,5.9652323722839355,1,0.08979471027851105,6.402184963226318,1,0.010491938330233097,6.935973167419434,0,-0.0863855853676796
heldout,env000085,9,13,2,7.017522811889648,2.017174482345581,1,1,True,4.630489826202393,1,0.4773733615875244,5.794393539428711,1,0.2446088194847107,5.663226127624512,1,0.27084049582481384
heldout,env000085,9,13,3,7.099628925323486,1.5684243440628052,1,1,True,4.989500045776367,1,0.3814953565597534,6.252080917358398,1,0.15323027968406677,6.660157680511475,1,0.07945308089256287
heldout,env000085,5,14,0,4.222949028015137,0.9394159913063049,-1,-1,True,3.2868118286132812,-1,0.2851005792617798,1.895600438117981,-1,0.7087940573692322,1.890415072441101,-1,0.7103731632232666
heldout,env000085,5,14,1,4.143162727355957,0.42846137285232544,-1,-1,True,2.5335147380828857,-1,0.43331825733184814,1.9651609659194946,-1,0.5863195061683655,1.9359780550003052,-1,0.5941755771636963
heldout,env000085,5,14,2,4.11386775970459,0.9671573042869568,-1,-1,True,2.6044962406158447,-1,0.47966647148132324,2.1771745681762695,-1,0.6154659986495972,2.2153565883636475,-1,0.6033320426940918
