map_id,condition_id,source_id,path_num,strict_safe,max_esdf_violation,safe_cost,path_length,curvature_max,curvature_exceedance,jerk,endpoint_yaw_error,self_intersection,abnormal,mode_label,length_chord_ratio
env000010,0,0,0,False,0.5585494041442871,2.903521776199341,17.10516357421875,3.1959989070892334,0.010204081423580647,0.00018448523769620806,0.11499659717082977,False,False,1,1.0028390884399414
env000010,0,1,0,False,0.5607437491416931,2.8397533893585205,17.13547134399414,3.9901225566864014,0.010204081423580647,0.00017480798123870045,0.03976866602897644,False,False,1,1.0046160221099854
env000010,0,2,0,False,0.5266065001487732,2.7137765884399414,17.22483253479004,3.4586308002471924,0.020408162847161293,0.00017595342069398612,0.04701261594891548,False,False,-1,1.009855031967163
env000010,0,3,0,False,0.510492205619812,2.6197636127471924,17.156471252441406,3.7982780933380127,0.010204081423580647,0.00032364350045099854,0.08323460817337036,False,False,0,1.0058470964431763
env000010,0,4,0,False,0.5504562258720398,2.7228872776031494,17.304019927978516,4.989784240722656,0.010204081423580647,0.00044195359805598855,0.09900883585214615,False,False,1,1.0144976377487183
env000010,0,5,0,False,0.552322506904602,2.563971757888794,17.252010345458984,2.1211817264556885,0.010204081423580647,0.00011054192873416469,0.09102226793766022,False,False,-1,1.0114483833312988
env000010,0,6,0,False,0.42979589104652405,1.7557096481323242,17.183853149414062,1.7184332609176636,0.010204081423580647,8.000199886737391e-05,0.11721854656934738,False,False,-1,1.0074524879455566
env000010,0,7,0,False,0.5396451354026794,2.7913200855255127,17.219863891601562,4.643618583679199,0.010204081423580647,0.00045901123667135835,0.16174201667308807,False,False,1,1.009563684463501
env000010,0,8,0,False,0.49359065294265747,2.545173168182373,17.14126205444336,3.7822422981262207,0.010204081423580647,0.00035752952680923045,0.214528426527977,False,False,-1,1.0049554109573364
env000010,0,9,0,False,0.5565027594566345,2.835540294647217,17.12810516357422,4.254082202911377,0.010204081423580647,0.0003838276315946132,0.1549290418624878,False,False,0,1.0041841268539429
env000010,0,10,0,False,0.5312512516975403,2.61320424079895,17.092811584472656,3.728015899658203,0.010204081423580647,0.00018466876645106822,0.14490510523319244,False,False,-1,1.0021148920059204
env000010,0,11,0,False,0.5481505393981934,2.7711286544799805,17.153522491455078,2.0556845664978027,0.010204081423580647,0.00014999756240285933,0.10236769914627075,False,False,-1,1.0056742429733276
env000010,0,12,0,False,0.5619005560874939,2.9534037113189697,17.253711700439453,4.142662048339844,0.010204081423580647,0.0002762192743830383,0.24388387799263,False,False,-1,1.0115481615066528
env000010,0,13,0,False,0.569109320640564,2.6587634086608887,17.13243293762207,3.190981864929199,0.010204081423580647,0.0001904232194647193,0.08438622206449509,False,False,0,1.004437804222107
env000010,0,14,0,False,0.4578401446342468,2.101262092590332,17.216785430908203,2.1761882305145264,0.010204081423580647,7.980306691024452e-05,0.04541684687137604,False,False,-1,1.009383201599121
env000010,0,15,0,False,0.4648905098438263,2.1579644680023193,17.188840866088867,2.419051170349121,0.010204081423580647,0.00021438188559841365,0.08269001543521881,False,False,-1,1.0077449083328247
env000010,0,16,0,False,0.529565691947937,2.667771100997925,17.249103546142578,5.731748580932617,0.020408162847161293,0.0008742039208300412,0.29947414994239807,False,False,1,1.0112780332565308
env000010,0,17,0,False,0.44310083985328674,1.9722301959991455,17.1368408203125,2.1757545471191406,0.010204081423580647,7.851205737097189e-05,0.031001970171928406,False,False,-1,1.004696249961853
env000010,0,18,0,False,0.5301031470298767,2.6673638820648193,17.12366485595703,3.3757424354553223,0.010204081423580647,0.00015355198411270976,0.12173497676849365,False,False,-1,1.003923773765564
env000010,0,19,0,False,0.5628715753555298,2.9719245433807373,17.114749908447266,4.48785400390625,0.010204081423580647,0.0003093732229899615,0.09119640290737152,False,False,1,1.0034011602401733
