sample_index,environment,path_num,stage1_corrected,stage1_safe,stage1_deviation,stage1_length,stage1_length_ratio,stage1_length_penalty,stage1_obstacle,stage1_curvature,stage1_smoothness,stage1_jerk,stage1_dangerous_ratio,stage1_unsafe_margin_ratio,stage1_min_esdf,stage1_curvature_violation_ratio,stage1_control_oob_ratio,teacher_corrected,teacher_safe,teacher_deviation,teacher_length,teacher_length_ratio,teacher_length_penalty,teacher_obstacle,teacher_curvature,teacher_smoothness,teacher_jerk,teacher_dangerous_ratio,teacher_unsafe_margin_ratio,teacher_min_esdf,teacher_curvature_violation_ratio,teacher_control_oob_ratio,c1_corrected,c1_safe,c1_deviation,c1_length,c1_length_ratio,c1_length_penalty,c1_obstacle,c1_curvature,c1_smoothness,c1_jerk,c1_dangerous_ratio,c1_unsafe_margin_ratio,c1_min_esdf,c1_curvature_violation_ratio,c1_control_oob_ratio,c1_relative_teacher_error,c2_corrected,c2_safe,c2_deviation,c2_length,c2_length_ratio,c2_length_penalty,c2_obstacle,c2_curvature,c2_smoothness,c2_jerk,c2_dangerous_ratio,c2_unsafe_margin_ratio,c2_min_esdf,c2_curvature_violation_ratio,c2_control_oob_ratio,c2_relative_teacher_error,c1_teacher_recovery,c1_improved,c2_teacher_recovery,c2_improved
0,env000064,13,10.240646362304688,10.240646362304688,0.0,18.020877838134766,1.0,0.0,9.617745399475098,1.6424444913864136,0.001957276836037636,0.0014134887605905533,0.4699999988079071,0.4899999797344208,-1.382619857788086,0.06122449040412903,0.0,2.4301750659942627,2.2093563079833984,1.1040937900543213,20.648540496826172,1.1458121538162231,0.0,1.9993417263031006,0.7523379325866699,0.03371782600879669,0.047483693808317184,0.07000000029802322,0.07999999821186066,-0.6978607773780823,0.030612245202064514,0.0,2.0312304496765137,1.7619023323059082,1.3466401100158691,17.066747665405273,0.9470542073249817,0.0,0.7215027213096619,0.0,0.0010934157762676477,0.00017656999989412725,0.029999999329447746,0.029999999329447746,-0.5428531765937805,0.0,0.0,1.0394306182861328,2.56141996383667,2.319866895675659,1.207764744758606,20.039936065673828,1.1120399236679077,0.0,2.0622358322143555,0.7515408396720886,0.030413256958127022,0.041680265218019485,0.07000000029802322,0.07000000029802322,-0.8344686627388,0.05102040618658066,0.0,0.07999718934297562,1.0510780811309814,True,0.9831962585449219,True
1,env000040,9,8.49121379852295,8.49121379852295,0.0,15.218921661376953,1.0,0.0,7.870293617248535,1.6211801767349243,0.0013658171519637108,0.0005710765835829079,0.20999999344348907,0.22999998927116394,-1.5116641521453857,0.10204081237316132,0.0,1.7154613733291626,1.4549309015274048,1.30265212059021,16.853105545043945,1.1073784828186035,0.0,1.2805720567703247,0.43907713890075684,0.009073094464838505,0.004697822500020266,0.029999999329447746,0.03999999910593033,-1.3115949630737305,0.13265305757522583,0.0,2.480872869491577,2.0941245555877686,1.9337410926818848,16.265342712402344,1.0687578916549683,0.0,1.9802299737930298,0.22825658321380615,0.0032597878016531467,0.0012420176062732935,0.04999999701976776,0.05999999865889549,-1.2012428045272827,0.06122449040412903,0.0,0.6948699951171875,2.105151891708374,1.866987705230713,1.1409868001937866,17.609195709228516,1.1570593118667603,4.9834219680633396e-05,1.4415708780288696,1.1988016366958618,0.0077224611304700375,0.003661124501377344,0.03999999910593033,0.03999999910593033,-1.3487321138381958,0.15306122601032257,0.0,0.19626110792160034,0.8870366215705872,True,0.9424874186515808,True
2,env000040,15,8.497745513916016,8.497745513916016,0.0,10.585355758666992,1.0,0.0,7.568170070648193,2.691803216934204,0.0010753966635093093,0.0005277571617625654,0.17999999225139618,0.22999998927116394,-1.4676499366760254,0.0714285671710968,0.0,1.1215285062789917,0.944530725479126,0.8785415291786194,12.200037002563477,1.1525391340255737,6.447322448366322e-06,0.7459737062454224,0.13744905591011047,0.025079673156142235,0.017968488857150078,0.009999999776482582,0.009999999776482582,-1.4676499366760254,0.020408162847161293,0.0,1.863095998764038,1.613200306892395,1.2494785785675049,11.907812118530273,1.1249326467514038,0.0,1.2453374862670898,0.06740889698266983,0.002099298872053623,0.0004527676210273057,0.029999999329447746,0.029999999329447746,-1.4676499366760254,0.030612245202064514,0.0,0.9056801795959473,4.211623668670654,4.138364791870117,0.3662950098514557,10.677173614501953,1.0086740255355835,0.0,3.5357463359832764,0.8767625689506531,0.0008772590081207454,0.00030220657936297357,0.09999999403953552,0.11999999731779099,-1.4676498174667358,0.040816325694322586,0.0,0.8837459683418274,0.899465024471283,True,0.5810731649398804,True
3,env000040,13,6.9675116539001465,6.9675116539001465,0.0,17.558744430541992,1.0,0.0,6.746622085571289,0.7443076372146606,0.0010127826826646924,0.0006240436341613531,0.17000000178813934,0.17999999225139618,-1.4224202632904053,0.040816325694322586,0.0,1.3366376161575317,1.0707132816314697,1.3096843957901,20.270957946777344,1.1544650793075562,1.993714613490738e-05,0.9635515809059143,0.23136842250823975,0.014004016295075417,0.00801661517471075,0.019999999552965164,0.019999999552965164,-0.9828283190727234,0.0714285671710968,0.0,2.19701886177063,1.9012588262557983,1.4788000583648682,19.649559020996094,1.1190754175186157,0.0,1.7627537250518799,0.3823404610157013,0.004433703143149614,0.0024891197681427,0.03999999910593033,0.03999999910593033,-1.2302675247192383,0.05102040618658066,0.0,0.8529332876205444,4.676538944244385,4.225020885467529,2.2575900554656982,18.107131958007812,1.0312316417694092,0.0,3.2765674591064453,3.232015371322632,0.01175521221011877,0.012507356703281403,0.09999999403953552,0.10999999940395355,-1.4858343601226807,0.06122449040412903,0.0,0.6971462965011597,0.8472028374671936,True,0.4068591594696045,True
4,env000040,2,6.362196922302246,6.362196922302246,0.0,19.912960052490234,1.0,0.0,6.3416852951049805,0.007263207342475653,0.0002237425505882129,0.00016958291234914213,0.2199999988079071,0.2199999988079071,-1.231824278831482,0.010204081423580647,0.0,0.9591663479804993,0.6148751974105835,1.721455693244934,22.845050811767578,1.1472454071044922,0.0,0.547633945941925,0.16689077019691467,0.013772256672382355,0.008499707095324993,0.009999999776482582,0.009999999776482582,-0.8023032546043396,0.05102040618658066,0.0,1.7917578220367432,1.4440523386001587,1.738527536392212,21.601608276367188,1.084801435470581,0.0,1.3579726219177246,0.0,0.0015547772636637092,0.0006276023923419416,0.04999999701976776,0.05999999865889549,-0.8089740872383118,0.0,0.0,0.943390965461731,1.739749550819397,1.2087949514389038,2.654772996902466,21.79021453857422,1.0942729711532593,0.0,0.9278112649917603,0.7226788401603699,0.008313271217048168,0.007127110380679369,0.03999999910593033,0.03999999910593033,-0.8349679708480835,0.12244898080825806,0.0,0.6289001107215881,0.8459029197692871,True,0.855528712272644,True
5,env000015,6,6.339754104614258,6.339754104614258,0.0,17.479530334472656,1.0,0.0,5.427895545959473,2.2332897186279297,0.002031823853030801,0.001532961381599307,0.20999999344348907,0.25,-0.9782878756523132,0.09183673560619354,0.0,1.9803136587142944,1.7890223264694214,0.9564566016197205,18.11182403564453,1.0361733436584473,0.0,1.2482256889343262,1.1588340997695923,0.01124471053481102,0.008857914246618748,0.04999999701976776,0.05999999865889549,-0.5479544401168823,0.08163265138864517,0.0,2.658397674560547,2.4774043560028076,0.9049670100212097,18.84177589416504,1.0779337882995605,0.0,2.2719483375549316,0.22246387600898743,0.0026167368050664663,0.0011731917038559914,0.08999999612569809,0.10999999940395355,-0.7456346750259399,0.030612245202064514,0.0,1.0314873456954956,1.9742941856384277,1.8100467920303345,0.8212367296218872,18.03396224975586,1.0317189693450928,0.0,1.3639671802520752,1.3762428760528564,0.013868574053049088,0.015044541098177433,0.05999999865889549,0.07000000029802322,-0.5761715769767761,0.10204081237316132,0.0,0.11114882677793503,0.8444561958312988,True,1.0013808012008667,True
6,env000015,2,5.566491603851318,5.566491603851318,0.0,11.53272819519043,1.0,0.0,5.226643085479736,1.0394389629364014,0.00040512383566237986,0.0002379862271482125,0.17999999225139618,0.2199999988079071,-1.0109291076660156,0.06122449040412903,0.0,1.8490118980407715,1.5892759561538696,1.2986799478530884,13.054502487182617,1.1319526433944702,0.0,1.1593220233917236,1.389082431793213,0.017416588962078094,0.020879872143268585,0.029999999329447746,0.03999999910593033,-0.8969540596008301,0.12244898080825806,0.0,2.220656156539917,1.9408692121505737,1.3989349603652954,12.115142822265625,1.0505009889602661,0.0,1.8541659116744995,0.24089746177196503,0.001722994027659297,0.0006771230255253613,0.05999999865889549,0.07000000029802322,-0.9483039379119873,0.030612245202064514,0.0,0.6879938244819641,2.154561996459961,1.8592658042907715,1.476481556892395,12.864527702331543,1.1154799461364746,0.0,1.4792472124099731,1.2159696817398071,0.010489623993635178,0.008066769689321518,0.03999999910593033,0.04999999701976776,-0.902129590511322,0.1428571343421936,0.0,0.1519021987915039,0.900027871131897,True,0.9178071618080139,True
7,env000040,4,5.882246017456055,5.882246017456055,0.0,7.831165313720703,1.0,0.0,5.076772689819336,2.226181745529175,0.0005732199060730636,0.00016893463907763362,0.4599999785423279,0.5199999809265137,-0.7999880313873291,0.17346937954425812,0.0,1.5645992755889893,1.1844624280929565,1.1969935894012451,9.213578224182129,1.1765271425247192,0.0007036905735731125,0.6941859126091003,0.8969541788101196,0.0035805704537779093,0.001766442321240902,0.03999999910593033,0.03999999910593033,-0.33927059173583984,0.20408162474632263,0.0,3.5201473236083984,3.4685099124908447,0.25818654894828796,8.77705192565918,1.120784878730774,0.0,3.1469368934631348,0.3708396553993225,0.0006437395932152867,0.0002140820142813027,0.1599999964237213,0.20999999344348907,-0.5974880456924438,0.22448979318141937,0.0,0.8787423372268677,3.5654611587524414,3.447676658630371,0.588922917842865,8.388099670410156,1.071117639541626,0.0,2.8775827884674072,0.5840761065483093,0.0006664522807113826,0.00015880448336247355,0.12999999523162842,0.17000000178813934,-0.5875909328460693,0.16326530277729034,0.0,0.7277534008026123,0.5470800995826721,True,0.5365850329399109,True
8,env000040,6,5.126139163970947,5.126139163970947,0.0,13.695775985717773,1.0,0.0,4.6419477462768555,1.1983824968338013,0.0005626956699416041,0.0003206130932085216,0.2199999988079071,0.25999999046325684,-0.8149282932281494,0.030612245202064514,0.0,1.0808029174804688,0.7564900517463684,1.6215640306472778,15.13612174987793,1.1051671504974365,0.0,0.7046826481819153,0.1291208118200302,0.0035584643483161926,0.0016830747481435537,0.019999999552965164,0.029999999329447746,-0.64644855260849,0.020408162847161293,0.0,1.8897507190704346,1.5070587396621704,1.9134601354599,14.265621185302734,1.04160737991333,0.0,1.4427416324615479,0.0,0.0005343984812498093,0.00022764447203371674,0.04999999701976776,0.04999999701976776,-0.7672813534736633,0.0,0.0,0.7545158267021179,1.5166057348251343,1.1414507627487183,1.8757749795913696,14.58829116821289,1.0651671886444092,0.0,0.9486649632453918,0.0,0.0022121253423392773,0.0007986041018739343,0.029999999329447746,0.03999999910593033,-0.8222925066947937,0.0,0.0,0.1968066394329071,0.8000295162200928,True,0.8922702670097351,True
9,env000064,4,4.943177223205566,4.943177223205566,0.0,10.110730171203613,1.0,0.0,4.470801830291748,1.3857662677764893,0.00028168136486783624,0.00012091585085727274,0.14000000059604645,0.14999999105930328,-0.8627727031707764,0.10204081237316132,0.0,0.6440066695213318,0.5264153480529785,0.5879567265510559,11.612058639526367,1.1484886407852173,0.0,0.37720775604248047,0.15972082316875458,0.017494065687060356,0.012113944627344608,0.009999999776482582,0.009999999776482582,-0.6393219232559204,0.020408162847161293,0.0,1.4792017936706543,1.3837807178497314,0.4771054685115814,10.744850158691406,1.0627175569534302,0.0,1.2184795141220093,0.032702233642339706,0.0006438392447307706,0.000155393427121453,0.03999999910593033,0.03999999910593033,-0.7644351720809937,0.030612245202064514,0.0,0.8811700344085693,1.8731998205184937,1.8162072896957397,0.28496262431144714,10.339317321777344,1.0226083993911743,0.0,1.3575822114944458,0.7340604662895203,0.0009354249923489988,0.0003514376294333488,0.04999999701976776,0.04999999701976776,-0.7519232630729675,0.040816325694322586,0.0,0.7679898738861084,0.8057311177253723,True,0.7140859365463257,True
