阶段,step,sample_index,corrected,safe,deviation,length,length_ratio,length_penalty,obstacle,curvature,smoothness,jerk,dangerous_ratio,unsafe_margin_ratio,min_esdf,curvature_violation_ratio,control_oob_ratio,corrected_mean,corrected_median,safe_mean,safe_median,deviation_mean,deviation_median,length_mean,length_median,length_ratio_mean,length_ratio_median,length_penalty_mean,length_penalty_median,obstacle_mean,obstacle_median,curvature_mean,curvature_median,smoothness_mean,smoothness_median,jerk_mean,jerk_median,dangerous_ratio_mean,dangerous_ratio_median,unsafe_margin_ratio_mean,unsafe_margin_ratio_median,min_esdf_mean,min_esdf_median,curvature_violation_ratio_mean,curvature_violation_ratio_median,control_oob_ratio_mean,control_oob_ratio_median,relative_teacher_error_mean,relative_teacher_error_median
teacher,0,0,10.240646362304688,10.240646362304688,1.3216094986781817e-14,18.020877838134766,1.0,0.0,9.617745399475098,1.6424444913864136,0.0019572770688682795,0.0014134887605905533,0.4699999988079071,0.4899999797344208,-1.382619857788086,0.06122449040412903,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,1,8.491212844848633,8.491212844848633,1.3631762006086762e-13,15.218923568725586,1.0000001192092896,0.0,7.870294570922852,1.6211751699447632,0.001365818316116929,0.0005710806581191719,0.20999999344348907,0.22999998927116394,-1.5116641521453857,0.10204081237316132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,2,8.497745513916016,8.497745513916016,9.094946814441375e-15,10.585355758666992,1.0,0.0,7.568170070648193,2.691803216934204,0.0010753964306786656,0.0005277566961012781,0.17999999225139618,0.22999998927116394,-1.4676499366760254,0.0714285671710968,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,3,6.96751070022583,6.96751070022583,3.3950457462711414e-13,17.558744430541992,1.0,0.0,6.746622085571289,0.7443057298660278,0.001012788387015462,0.0006240603979676962,0.17000000178813934,0.17999999225139618,-1.4224201440811157,0.040816325694322586,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,4,6.362196922302246,6.362196922302246,0.0,19.912960052490234,1.0,0.0,6.3416852951049805,0.007263207342475653,0.0002237425505882129,0.00016958291234914213,0.2199999988079071,0.2199999988079071,-1.231824278831482,0.010204081423580647,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,5,6.339754581451416,6.339754581451416,3.058941963187474e-15,17.479530334472656,1.0,0.0,5.427896022796631,2.2332897186279297,0.002031823853030801,0.001532960799522698,0.20999999344348907,0.25,-0.9782878756523132,0.09183673560619354,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,6,5.566492080688477,5.566492080688477,6.5085713511423e-14,11.53272819519043,1.0,0.0,5.226643085479736,1.0394463539123535,0.00040512296254746616,0.00023798485926818103,0.17999999225139618,0.2199999988079071,-1.0109291076660156,0.06122449040412903,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,7,5.882269382476807,5.882269382476807,6.0418334967221946e-15,7.831165313720703,1.0,0.0,5.076772689819336,2.2262513637542725,0.0005732239806093276,0.00016893004067242146,0.4599999785423279,0.5199999809265137,-0.7999880313873291,0.17346937954425812,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,8,5.1261210441589355,5.1261210441589355,3.399437578221337e-13,13.69577693939209,1.0000001192092896,0.0,4.641946792602539,1.198341727256775,0.0005626773927360773,0.0003206005203537643,0.2199999988079071,0.25999999046325684,-0.8149282932281494,0.030612245202064514,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,9,4.943177223205566,4.943177223205566,0.0,10.110729217529297,1.0,0.0,4.470801830291748,1.3857662677764893,0.00028168136486783624,0.00012091585085727274,0.14000000059604645,0.14999999105930328,-0.8627727031707764,0.10204081237316132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,10,4.514644145965576,4.514644145965576,7.105426934084528e-16,15.398982048034668,1.0,0.0,4.355467796325684,0.45938554406166077,0.00077077402966097,0.0003388688201084733,0.2199999988079071,0.23999999463558197,-0.8028872609138489,0.08163265138864517,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,11,9.126173973083496,9.126173973083496,0.0,10.395610809326172,1.0,0.0,4.294532775878906,14.513775825500488,0.018725354224443436,0.007117118686437607,0.1899999976158142,0.25,-0.7453438639640808,0.20408162474632263,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,12,4.530445575714111,4.530445575714111,3.1207035653540993e-13,20.40500259399414,1.0,0.0,4.277024745941162,0.6804203391075134,0.0023191035725176334,0.0016838004812598228,0.25999999046325684,0.3100000023841858,-0.7498940229415894,0.10204081237316132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,13,4.566185474395752,4.566185474395752,4.14690491960714e-14,19.757431030273438,1.0,0.0,4.151726722717285,1.201210618019104,0.002574525773525238,0.0020792295690625906,0.22999998927116394,0.26999998092651367,-0.8314846158027649,0.08163265138864517,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,0,14,4.980904579162598,4.980904579162598,1.3642420221662063e-14,13.951681137084961,1.0,0.0,3.9761857986450195,2.7073304653167725,0.0014519706601276994,0.0007615506183356047,0.12999999523162842,0.14000000059604645,-0.9483609795570374,0.06122449040412903,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
